contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AMZN260313C00125000,2026-02-10 14:43:30+00:00,125.0,82.72,,1,74.8049,206.675,103.0121,0.0365,36.48
AMZN260313C00135000,2026-02-06 15:02:06+00:00,135.0,68.12,20.0,1,69.2386,,120.2208,0.0365,
AMZN260313C00150000,2026-02-12 15:39:18+00:00,150.0,51.7,1.0,1,52.8325,200.72,62.7649,0.0365,36.1
AMZN260313C00160000,2026-02-11 17:04:30+00:00,160.0,43.86,1.0,1,66.7972,202.7111,55.3847,0.0365,36.21
AMZN260313C00165000,2026-02-11 17:52:53+00:00,165.0,41.05,1.0,1,59.4609,203.895,63.0973,0.0365,35.58
AMZN260313C00170000,2026-02-12 17:49:00+00:00,170.0,31.2,4.0,1,50.0859,199.815,43.8956,0.0365,37.74
AMZN260313C00175000,2026-02-11 18:40:59+00:00,175.0,32.0,8.0,1,50.3423,204.4158,53.9323,0.0365,35.6
AMZN260313C00180000,2026-02-12 20:06:23+00:00,180.0,21.45,48.0,1,44.1656,198.62,42.0027,0.0365,37.64
AMZN260313C00185000,2026-02-12 20:32:55+00:00,185.0,16.89,69.0,1,40.8331,198.525,37.7431,0.0365,37.91
AMZN260313C00190000,2026-02-12 20:32:55+00:00,190.0,13.19,22.0,1,38.9288,198.525,36.6167,0.0365,37.91
AMZN260313C00195000,2026-02-12 20:53:10+00:00,195.0,10.2,248.0,1,37.2443,199.06,35.3349,0.0365,37.79
AMZN260313C00200000,2026-02-12 20:55:58+00:00,200.0,7.75,533.0,0,36.5485,199.205,35.7359,0.0365,37.78
AMZN260313C00205000,2026-02-12 20:58:01+00:00,205.0,5.4,617.0,0,36.4325,199.57,33.9847,0.0365,37.65
AMZN260313C00210000,2026-02-12 20:57:31+00:00,210.0,3.6,1275.0,0,33.4235,199.57,33.2938,0.0365,37.65
AMZN260313C00215000,2026-02-12 20:59:40+00:00,215.0,2.4,657.0,0,32.9719,199.45,33.5491,0.0365,37.53
AMZN260313C00220000,2026-02-12 20:59:19+00:00,220.0,1.55,1826.0,0,33.1916,199.45,33.6071,0.0365,37.53
AMZN260313C00225000,2026-02-12 20:52:43+00:00,225.0,1.02,690.0,0,33.8141,199.06,34.5452,0.0365,37.79
AMZN260313C00230000,2026-02-12 20:37:59+00:00,230.0,0.7,617.0,0,35.1569,198.6998,35.8177,0.0365,37.86
AMZN260313C00235000,2026-02-12 20:59:19+00:00,235.0,0.52,397.0,0,36.7926,199.45,36.5926,0.0365,37.53
AMZN260313C00240000,2026-02-12 20:42:37+00:00,240.0,0.38,241.0,0,38.0866,198.74,38.4529,0.0365,37.68
AMZN260313C00245000,2026-02-12 20:11:39+00:00,245.0,0.29,644.0,0,39.1119,198.6233,39.9516,0.0365,37.67
AMZN260313C00250000,2026-02-12 20:44:35+00:00,250.0,0.23,89.0,0,40.5279,198.78,41.3598,0.0365,37.72
AMZN260313C00255000,2026-02-12 19:03:33+00:00,255.0,0.2,13.0,0,41.6998,199.34,42.9404,0.0365,37.62
AMZN260313C00260000,2026-02-12 19:20:22+00:00,260.0,0.16,19.0,0,44.7271,199.66,44.0584,0.0365,37.51
AMZN260313C00265000,2026-02-12 20:46:58+00:00,265.0,0.13,6.0,0,46.3384,198.66,46.1361,0.0365,37.75
AMZN260313C00270000,2026-02-12 17:31:55+00:00,270.0,0.1,10.0,0,46.2896,199.6699,46.3512,0.0365,37.89
AMZN260313C00275000,2026-02-11 20:13:41+00:00,275.0,0.11,754.0,0,49.6099,204.63,45.9459,0.0365,35.39
AMZN260313C00280000,2026-02-12 19:15:49+00:00,280.0,0.07,55.0,0,49.2193,199.53,49.0807,0.0365,37.69
AMZN260313C00285000,2026-02-11 19:45:22+00:00,285.0,0.06,1.0,0,50.5864,204.6475,47.1329,0.0365,35.26
AMZN260313C00290000,2026-02-12 18:46:56+00:00,290.0,0.04,1.0,0,51.9536,199.29,50.4724,0.0365,37.67
AMZN260313C00295000,2026-02-11 14:57:12+00:00,295.0,0.03,1.0,0,51.563,205.385,47.3587,0.0365,35.02
AMZN260313C00300000,2026-02-12 15:37:29+00:00,300.0,0.04,1.0,0,59.9613,201.0628,53.3904,0.0365,35.86
AMZN260313C00305000,2026-02-12 19:50:54+00:00,305.0,0.04,1.0,0,52.3442,199.095,56.5435,0.0365,37.62
AMZN260313C00310000,2026-02-05 16:04:53+00:00,310.0,0.16,,0,68.848,,68.018,0.0365,
AMZN260313C00315000,2026-02-11 20:17:22+00:00,315.0,0.03,1.0,0,65.723,204.73,55.3008,0.0365,35.38
AMZN260313C00335000,2026-02-06 20:59:16+00:00,335.0,0.04,1.0,0,88.6232,,67.0881,0.0365,
AMZN260313C00340000,2026-02-11 19:32:18+00:00,340.0,0.03,1.0,0,89.5509,205.08,63.7299,0.0365,35.2
AMZN260313C00345000,2026-02-02 20:06:33+00:00,345.0,0.05,,0,93.7501,,72.0034,0.0365,
