contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
GOOG260227C00165000,2026-02-25 20:34:18+00:00,165.0,147.12,9.0,26,311.87,34.04,136.35,140.05,3.7,2.018,c
GOOG260227C00170000,2026-02-25 19:33:08+00:00,170.0,141.0,2.0,43,310.81,33.95,131.05,135.05,4.0,2.06,c
GOOG260227C00175000,2026-02-24 18:41:35+00:00,175.0,136.27,25.0,44,310.51,34.76,126.0,130.05,4.05,3.096,c
GOOG260227C00180000,2026-02-24 20:47:36+00:00,180.0,131.24,12.0,38,311.06,35.19,121.25,125.0,3.75,3.009,c
GOOG260227C00190000,2026-02-24 20:47:14+00:00,190.0,121.25,9.0,9,311.185,35.21,111.15,115.05,3.9,3.009,c
GOOG260227C00195000,2026-02-24 20:47:52+00:00,195.0,116.28,10.0,13,311.185,35.21,106.25,110.0,3.75,3.008,c
GOOG260227C00200000,2026-02-24 20:47:31+00:00,200.0,111.28,9.0,20,311.06,35.19,100.8,104.9,4.1,3.009,c
GOOG260227C00205000,2026-02-24 20:47:58+00:00,205.0,106.31,11.0,13,311.185,35.21,95.8,100.0,4.2,3.008,c
GOOG260227C00210000,2026-02-25 16:22:29+00:00,210.0,100.45,2.0,114,310.43,34.06,91.2,95.05,3.85,2.193,c
GOOG260227C00215000,2026-02-24 20:42:39+00:00,215.0,96.17,3.0,7,311.1,35.32,86.45,90.1,3.65,3.012,c
GOOG260227C00220000,2026-02-24 20:42:29+00:00,220.0,91.2,3.0,77,310.815,35.39,81.2,85.05,3.85,3.012,c
GOOG260227C00225000,2026-02-13 20:49:20+00:00,225.0,81.05,1.0,2,306.033,36.64,76.25,79.85,3.6,14.007,c
GOOG260227C00230000,2026-02-18 16:08:20+00:00,230.0,74.79,,0,306.033,36.64,72.0,75.1,3.1,9.203,c
GOOG260227C00235000,2026-02-25 19:37:47+00:00,235.0,76.03,5.0,21,310.86,33.96,66.95,70.1,3.15,2.057,c
GOOG260227C00240000,2026-02-25 19:36:43+00:00,240.0,70.99,1.0,9,310.71,33.98,61.2,65.0,3.8,2.058,c
GOOG260227C00245000,2026-02-24 20:51:13+00:00,245.0,66.57,6.0,133,311.43,35.1,56.45,60.1,3.65,3.006,c
GOOG260227C00250000,2026-02-25 20:49:01+00:00,250.0,63.02,4.0,25,312.51,34.0,51.35,55.1,3.75,2.008,c
GOOG260227C00255000,2026-02-24 19:10:29+00:00,255.0,55.93,6.0,21,310.51,34.96,46.25,49.9,3.65,3.076,c
GOOG260227C00260000,2026-02-25 20:28:28+00:00,260.0,51.79,10.0,74,312.385,34.02,41.85,45.0,3.15,2.022,c
GOOG260227C00265000,2026-02-25 20:26:58+00:00,265.0,46.99,1.0,41,311.99,34.01,36.35,40.0,3.65,2.023,c
GOOG260227C00270000,2026-02-24 20:52:40+00:00,270.0,41.35,3.0,36,311.29,35.13,32.1,35.1,3.0,3.005,c
GOOG260227C00272500,2026-02-17 17:43:17+00:00,272.5,29.35,,2,306.033,36.64,29.4,32.6,3.2,10.137,c
GOOG260227C00275000,2026-02-25 14:58:17+00:00,275.0,38.4,1.0,61,313.43,34.05,27.35,30.05,2.7,2.251,c
GOOG260227C00277500,2026-02-18 20:54:40+00:00,277.5,28.05,,2,305.17,34.85,24.65,27.6,2.95,9.004,c
GOOG260227C00280000,2026-02-25 15:46:48+00:00,280.0,30.3,2.0,97,310.3,34.21,22.0,25.15,3.15,2.218,c
GOOG260227C00282500,2026-02-26 14:50:36+00:00,282.5,26.03,36.0,49,307.11,34.79,19.9,22.65,2.75,1.257,c
GOOG260227C00285000,2026-02-26 15:22:13+00:00,285.0,18.95,6.0,89,303.27,35.8,17.35,20.15,2.8,1.235,c
GOOG260227C00287500,2026-02-24 17:09:33+00:00,287.5,23.85,15.0,19,311.36,34.63,15.55,17.7,2.15,3.16,c
GOOG260227C00290000,2026-02-26 15:28:27+00:00,290.0,13.2,4.0,110,302.74,35.89,12.85,13.9,1.05,1.23,c
GOOG260227C00292500,2026-02-25 20:34:18+00:00,292.5,19.79,4.0,32,311.87,34.04,9.8,12.75,2.95,2.018,c
GOOG260227C00295000,2026-02-26 15:34:00+00:00,295.0,8.99,7.0,140,302.81,35.87,8.35,9.15,0.8,1.226,c
GOOG260227C00297500,2026-02-26 15:34:03+00:00,297.5,6.75,38.0,224,302.81,35.87,6.6,6.8,0.2,1.226,c
GOOG260227C00300000,2026-02-26 15:34:38+00:00,300.0,4.8,218.0,3061,302.68,35.8,4.7,4.85,0.15,1.226,c
