contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN260227C00125000,2026-02-26 15:09:52+00:00,125.0,84.39,13.0,38,209.52,34.95,80.75,84.25,3.5,1.243,c
AMZN260227C00135000,2026-02-25 20:47:50+00:00,135.0,74.41,1.0,24,210.405,34.97,70.8,74.35,3.55,2.008,c
AMZN260227C00140000,2026-02-24 20:43:19+00:00,140.0,68.5,86.0,60,208.36,36.6,65.75,69.35,3.6,3.012,c
AMZN260227C00145000,2026-02-25 19:58:57+00:00,145.0,65.59,121.0,17,210.455,35.08,60.75,64.4,3.65,2.042,c
AMZN260227C00150000,2026-02-25 14:59:00+00:00,150.0,60.72,1.0,35,210.833,35.13,55.75,59.4,3.65,2.251,c
AMZN260227C00155000,2026-02-25 20:58:03+00:00,155.0,55.72,107.0,21,210.63,34.76,50.75,54.3,3.55,2.001,c
AMZN260227C00160000,2026-02-26 15:34:47+00:00,160.0,47.32,3.0,104,207.08,36.42,46.3,49.25,2.95,1.226,c
AMZN260227C00165000,2026-02-26 15:31:05+00:00,165.0,42.36,38.0,17,207.365,36.3,41.0,44.4,3.4,1.228,c
AMZN260227C00170000,2026-02-25 20:24:44+00:00,170.0,40.27,7.0,56,210.24,35.18,35.85,39.4,3.55,2.024,c
AMZN260227C00175000,2026-02-25 20:25:37+00:00,175.0,35.37,1.0,81,210.3,35.19,31.9,34.05,2.15,2.024,c
AMZN260227C00177500,2026-02-24 16:03:01+00:00,177.5,30.82,4.0,4,208.22,35.96,28.95,31.95,3.0,3.206,c
AMZN260227C00180000,2026-02-25 14:30:41+00:00,180.0,31.0,3.0,189,211.12,36.32,26.45,29.1,2.65,2.27,c
AMZN260227C00182500,2026-02-24 16:55:29+00:00,182.5,26.33,34.0,76,209.035,35.96,23.95,26.6,2.65,3.17,c
AMZN260227C00185000,2026-02-25 20:59:06+00:00,185.0,25.76,14.0,291,210.66,34.69,20.8,24.15,3.35,2.001,c
AMZN260227C00187500,2026-02-24 18:38:27+00:00,187.5,22.6,4.0,1046,209.91,36.03,18.75,21.8,3.05,3.098,c
AMZN260227C00190000,2026-02-26 15:20:19+00:00,190.0,18.35,10.0,1213,207.94,35.97,16.9,18.15,1.25,1.236,c
AMZN260227C00192500,2026-02-25 18:44:24+00:00,192.5,17.0,12.0,200,209.35,35.66,14.2,15.25,1.05,2.094,c
AMZN260227C00195000,2026-02-26 15:20:47+00:00,195.0,13.02,29.0,1500,207.94,35.97,11.9,12.55,0.65,1.236,c
AMZN260227C00197500,2026-02-26 15:20:47+00:00,197.5,10.67,8.0,1415,207.94,35.97,9.4,10.25,0.85,1.236,c
AMZN260227C00200000,2026-02-26 15:30:31+00:00,200.0,7.37,94.0,11740,207.365,36.3,7.4,7.75,0.35,1.229,c
AMZN260227C00202500,2026-02-26 15:34:11+00:00,202.5,5.2,166.0,2533,207.08,36.42,5.3,5.45,0.15,1.226,c
AMZN260227C00205000,2026-02-26 15:33:44+00:00,205.0,3.6,1049.0,8359,207.45,36.26,3.4,3.5,0.1,1.227,c
AMZN260227C00207500,2026-02-26 15:34:05+00:00,207.5,1.89,2665.0,7531,207.08,36.42,1.81,1.84,0.03,1.226,c
AMZN260227C00210000,2026-02-26 15:34:44+00:00,210.0,0.86,8411.0,16366,207.08,36.42,0.86,0.87,0.01,1.226,c
AMZN260227C00212500,2026-02-26 15:34:43+00:00,212.5,0.35,8798.0,16605,207.08,36.42,0.34,0.36,0.02,1.226,c
AMZN260227C00215000,2026-02-26 15:34:42+00:00,215.0,0.16,9634.0,32218,207.08,36.42,0.15,0.16,0.01,1.226,c
AMZN260227C00217500,2026-02-26 15:34:30+00:00,217.5,0.07,3061.0,7536,207.44,36.28,0.07,0.08,0.01,1.226,c
AMZN260227C00220000,2026-02-26 15:35:02+00:00,220.0,0.04,2907.0,22761,207.44,36.28,0.04,0.05,0.01,1.226,c
AMZN260227C00222500,2026-02-26 15:28:49+00:00,222.5,0.02,536.0,8272,207.23,36.62,0.02,0.03,0.01,1.23,c
AMZN260227C00225000,2026-02-26 15:28:36+00:00,225.0,0.01,252.0,7405,207.51,36.41,0.01,0.02,0.01,1.23,c
