contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
MSFT260313P00270000,2026-03-02 20:58:49+00:00,270.0,0.01,0.0,0.03,1.0,145,0,71.09,398.59,75.0387,0.0364
MSFT260313P00280000,2026-03-02 15:10:26+00:00,280.0,0.06,0.0,0.15,2.0,22,0,75.98,398.1,79.7048,0.0364
MSFT260313P00290000,2026-02-25 20:50:17+00:00,290.0,0.02,0.0,2.13,30.0,80,0,101.47,400.79,54.8911,0.0364
MSFT260313P00300000,2026-03-02 14:39:53+00:00,300.0,0.03,0.0,0.07,11.0,213,0,57.42,394.7035,59.1774,0.0364
MSFT260313P00310000,2026-03-02 16:50:53+00:00,310.0,0.03,0.02,0.22,16.0,118,0,59.08,399.365,55.204,0.0364
MSFT260313P00320000,2026-03-02 15:21:03+00:00,320.0,0.05,0.02,0.05,5.0,153,0,47.27,398.27,50.8745,0.0364
MSFT260313P00325000,2026-03-02 19:50:44+00:00,325.0,0.04,0.04,0.07,45.0,72,0,45.9,399.695,47.6273,0.0364
MSFT260313P00330000,2026-03-02 16:26:54+00:00,330.0,0.08,0.06,0.09,52.0,218,0,44.14,397.61,46.6783,0.0364
MSFT260313P00335000,2026-03-02 16:48:03+00:00,335.0,0.12,0.09,0.12,65.0,153,0,42.58,399.15,46.5677,0.0364
MSFT260313P00340000,2026-03-02 18:26:16+00:00,340.0,0.16,0.14,0.17,64.0,546,0,41.41,400.16,45.619,0.0364
MSFT260313P00345000,2026-03-02 19:20:33+00:00,345.0,0.19,0.2,0.23,100.0,335,0,39.84,400.52,43.4521,0.0364
MSFT260313P00350000,2026-03-02 20:46:36+00:00,350.0,0.37,0.3,0.33,56.0,1527,0,38.72,397.465,42.557,0.0364
MSFT260313P00355000,2026-03-02 20:31:21+00:00,355.0,0.57,0.44,0.47,37.0,361,0,37.57,397.275,41.8409,0.0364
MSFT260313P00357500,2026-03-02 19:59:43+00:00,357.5,0.47,0.52,0.56,48.0,28,0,36.99,399.5001,39.7536,0.0364
MSFT260313P00360000,2026-03-02 20:31:21+00:00,360.0,0.64,0.63,0.67,1688.0,862,0,36.45,397.275,38.5995,0.0364
MSFT260313P00362500,2026-03-02 18:47:05+00:00,362.5,0.78,0.75,0.79,61.0,44,0,35.79,398.81,39.2032,0.0364
MSFT260313P00365000,2026-03-02 20:52:17+00:00,365.0,1.0,0.9,0.94,98.0,771,0,35.23,398.125,38.936,0.0364
MSFT260313P00367500,2026-03-02 19:24:33+00:00,367.5,0.94,1.07,1.12,48.0,30,0,34.69,399.99,37.4631,0.0364
MSFT260313P00370000,2026-03-02 20:30:37+00:00,370.0,1.29,1.25,1.49,549.0,1456,0,35.29,397.275,36.0412,0.0364
MSFT260313P00372500,2026-03-02 20:06:33+00:00,372.5,1.5,1.52,1.56,49.0,75,0,33.47,398.3,36.0786,0.0364
MSFT260313P00375000,2026-03-02 20:59:38+00:00,375.0,1.81,1.79,1.86,215.0,1301,0,32.98,398.37,35.8095,0.0364
MSFT260313P00377500,2026-03-02 20:33:01+00:00,377.5,2.45,2.13,2.18,25.0,344,0,32.35,397.71,36.3169,0.0364
MSFT260313P00380000,2026-03-02 20:49:13+00:00,380.0,2.8,2.53,2.59,465.0,1562,0,31.89,397.35,34.9755,0.0364
MSFT260313P00382500,2026-03-02 20:57:24+00:00,382.5,2.93,2.98,3.05,277.0,196,0,31.36,398.785,34.2615,0.0364
MSFT260313P00385000,2026-03-02 20:49:13+00:00,385.0,3.6,3.45,3.6,261.0,1703,0,30.91,397.35,32.6857,0.0364
MSFT260313P00387500,2026-03-02 20:59:19+00:00,387.5,4.1,4.1,4.2,79.0,695,0,30.34,398.37,32.8872,0.0364
MSFT260313P00390000,2026-03-02 20:10:10+00:00,390.0,4.71,4.8,4.9,788.0,1769,0,29.81,397.785,31.1288,0.0364
MSFT260313P00392500,2026-03-02 20:55:38+00:00,392.5,5.53,5.65,5.8,196.0,598,0,29.66,398.5783,31.8705,0.0364
MSFT260313P00395000,2026-03-02 20:46:23+00:00,395.0,7.07,6.55,6.65,278.0,893,0,28.94,397.37,31.8455,0.0364
MSFT260313P00397500,2026-03-02 20:53:37+00:00,397.5,7.61,7.6,7.75,361.0,408,0,28.71,398.49,31.3499,0.0364
MSFT260313P00400000,2026-03-02 20:46:23+00:00,400.0,9.1,8.75,8.9,539.0,1997,1,28.24,397.37,29.9676,0.0364
MSFT260313P00402500,2026-03-02 20:20:07+00:00,402.5,10.4,10.05,10.25,121.0,147,1,28.04,398.52,31.8961,0.0364
MSFT260313P00405000,2026-03-02 20:59:19+00:00,405.0,11.4,11.4,11.55,61.0,378,1,27.22,398.37,29.6277,0.0364
MSFT260313P00407500,2026-03-02 20:53:31+00:00,407.5,12.8,13.05,13.2,97.0,131,1,27.22,398.49,28.9703,0.0364
MSFT260313P00410000,2026-03-02 20:55:21+00:00,410.0,14.71,14.65,14.9,77.0,1157,1,26.98,398.495,29.6737,0.0364
MSFT260313P00412500,2026-03-02 14:47:07+00:00,412.5,18.65,16.5,16.7,8.0,42,1,26.69,395.785,29.4559,0.0364
MSFT260313P00415000,2026-03-02 20:21:09+00:00,415.0,19.0,18.45,18.65,116.0,562,1,26.6,398.06,30.4692,0.0364
MSFT260313P00417500,2026-03-02 18:47:07+00:00,417.5,20.0,19.5,22.0,10.0,26,1,32.97,398.81,28.0313,0.0364
MSFT260313P00420000,2026-03-02 20:55:21+00:00,420.0,22.89,22.1,23.05,101.0,437,1,27.86,398.495,31.2673,0.0364
MSFT260313P00422500,2026-02-26 14:33:00+00:00,422.5,28.08,23.5,26.35,5.0,8,1,34.38,402.7148,51.3882,0.0364
MSFT260313P00425000,2026-03-02 19:58:58+00:00,425.0,25.92,26.25,28.45,28.0,458,1,34.3,399.59,28.4996,0.0364
MSFT260313P00430000,2026-03-02 19:21:00+00:00,430.0,30.66,30.8,33.3,177.0,200,1,37.4,400.52,36.7692,0.0364
MSFT260313P00435000,2026-03-02 19:27:03+00:00,435.0,35.06,35.75,38.2,36.0,162,1,40.55,399.98,30.7514,0.0364
MSFT260313P00440000,2026-03-02 19:07:19+00:00,440.0,40.62,40.3,43.15,3.0,1400,1,43.84,399.06,27.6171,0.0364
MSFT260313P00445000,2026-03-02 15:32:41+00:00,445.0,46.79,45.1,48.1,1.0,2,1,46.97,398.0,34.0897,0.0364
MSFT260313P00450000,2026-03-02 19:02:22+00:00,450.0,50.59,49.75,53.1,2.0,0,1,50.37,398.9752,26.8349,0.0364
MSFT260313P00455000,2026-02-20 17:05:10+00:00,455.0,56.5,54.9,58.3,3.0,0,1,55.26,,35.9832,0.0364
MSFT260313P00460000,2026-03-02 14:46:57+00:00,460.0,64.0,59.95,63.05,1.0,0,1,56.45,395.7999,44.4032,0.0364
MSFT260313P00465000,2026-02-19 20:33:22+00:00,465.0,66.1,64.75,68.05,62.0,0,1,59.57,,36.3917,0.0364
MSFT260313P00470000,2026-02-20 15:30:50+00:00,470.0,72.65,69.75,73.05,1.0,0,1,62.61,,51.2265,0.0364
MSFT260313P00475000,2026-02-25 15:04:12+00:00,475.0,74.7,74.7,78.1,1.0,0,1,66.06,398.668,,0.0364
