contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
AAPL260225P00262500,2026-02-25 19:20:50+00:00,262.5,0.01,2265.0,6110,274.595,27.58,0.01,0.069,p
AAPL260225P00265000,2026-02-25 19:13:53+00:00,265.0,0.01,5268.0,6142,274.83,27.63,0.02,0.074,p
AAPL260225P00267500,2026-02-25 19:21:17+00:00,267.5,0.01,13270.0,6054,274.595,27.58,0.01,0.069,p
AAPL260225P00270000,2026-02-25 19:22:26+00:00,270.0,0.02,41261.0,8101,274.5,27.57,0.01,0.068,p
AAPL260225P00272500,2026-02-25 19:22:29+00:00,272.5,0.06,57055.0,2195,274.5,27.57,0.01,0.068,p
AAPL260225P00275000,2026-02-25 19:22:45+00:00,275.0,0.76,20666.0,1856,274.505,27.57,0.03,0.068,p
AAPL260225P00277500,2026-02-25 19:22:23+00:00,277.5,2.91,864.0,459,274.5,27.57,0.09,0.068,p
AAPL260225P00280000,2026-02-25 18:47:34+00:00,280.0,5.59,48.0,28,274.46,27.6,0.2,0.092,p
AAPL260225P00285000,2026-02-24 15:52:14+00:00,285.0,10.9,3.0,1,274.41,28.14,0.2,1.214,p
AAPL260225P00287500,2026-02-25 18:27:46+00:00,287.5,13.0,1.0,0,274.445,27.6,0.15,0.106,p
AAPL260225P00290000,2026-02-25 14:38:38+00:00,290.0,18.2,1.0,1,271.39,28.1,0.15,0.265,p
AAPL260225P00350000,2026-02-11 19:45:49+00:00,350.0,72.5,2.0,0,263.61,30.54,2.0,14.052,p
AAPL260227C00120000,2026-02-17 17:11:11+00:00,120.0,141.6,,0,263.61,30.54,2.85,10.159,c
AAPL260227C00150000,2026-02-02 15:20:02+00:00,150.0,114.81,1.0,1,263.61,30.54,2.95,25.236,c
AAPL260227C00170000,2026-02-20 18:50:11+00:00,170.0,94.1,1.0,1,264.0,28.73,2.85,7.09,c
AAPL260227C00175000,2026-02-25 16:44:32+00:00,175.0,98.47,1.0,2,273.22,27.51,2.95,2.177,c
AAPL260227C00185000,2026-02-23 19:16:52+00:00,185.0,82.82,1.0,5,267.55,28.7,3.0,4.072,c
AAPL260227C00190000,2026-02-23 15:32:10+00:00,190.0,77.4,2.0,4,267.305,28.4,2.95,4.228,c
AAPL260227C00195000,2026-02-19 15:08:17+00:00,195.0,68.44,1.0,2,263.11,29.78,3.0,8.244,c
AAPL260227C00200000,2026-02-25 16:50:57+00:00,200.0,73.67,1.0,220,273.3,27.54,2.8,2.173,c
AAPL260227C00205000,2026-02-09 14:33:31+00:00,205.0,70.65,3.0,15,263.61,30.54,2.9,18.268,c
AAPL260227C00210000,2026-02-24 20:44:41+00:00,210.0,61.95,1.0,13,272.16,28.84,2.9,3.011,c
AAPL260227C00215000,2026-02-24 18:32:11+00:00,215.0,56.23,6.0,28,271.44,28.54,2.95,3.103,c
AAPL260227C00220000,2026-02-24 15:02:38+00:00,220.0,54.03,5.0,80,273.94,28.71,3.0,3.248,c
AAPL260227C00225000,2026-02-25 18:40:10+00:00,225.0,49.3,2.0,65,274.37,27.64,2.65,2.097,c
AAPL260227C00230000,2026-02-24 19:49:38+00:00,230.0,42.0,15.0,304,272.38,28.8,2.15,3.049,c
AAPL260227C00235000,2026-02-25 16:03:48+00:00,235.0,38.56,2.0,174,274.059,27.63,2.4,2.206,c
AAPL260227C00237500,2026-02-23 20:50:00+00:00,237.5,29.75,5.0,5,266.73,29.12,2.35,4.007,c
AAPL260227C00240000,2026-02-25 18:51:52+00:00,240.0,34.75,15.0,209,274.69,27.61,0.95,2.089,c
AAPL260227C00242500,2026-02-24 15:09:23+00:00,242.5,31.8,1.0,3004,274.53,28.55,1.65,3.243,c
AAPL260227C00245000,2026-02-25 18:04:10+00:00,245.0,29.37,16.0,316,274.24,27.5,1.2,2.122,c
AAPL260227C00247500,2026-02-24 19:16:32+00:00,247.5,25.02,5.0,146,271.97,28.88,2.35,3.072,c
AAPL260227C00250000,2026-02-25 18:57:50+00:00,250.0,24.64,14.0,901,274.685,27.63,0.8,2.085,c
AAPL260227C00252500,2026-02-25 17:12:30+00:00,252.5,21.45,6.0,217,273.69,27.41,2.0,2.158,c
AAPL260227C00255000,2026-02-25 19:10:23+00:00,255.0,19.9,36.0,7371,274.77,27.58,0.5,2.076,c
AAPL260227C00257500,2026-02-25 19:02:19+00:00,257.5,17.35,9.0,1330,274.61,27.6,0.85,2.082,c
AAPL260227C00260000,2026-02-25 19:13:47+00:00,260.0,14.87,336.0,19592,274.83,27.63,0.35,2.074,c
AAPL260227C00262500,2026-02-25 19:19:48+00:00,262.5,12.47,533.0,4023,274.521,27.6,0.5,2.07,c
AAPL260227C00265000,2026-02-25 19:20:28+00:00,265.0,10.04,938.0,8385,274.521,27.6,0.2,2.069,c
AAPL260227C00267500,2026-02-25 19:13:53+00:00,267.5,7.8,1073.0,3790,274.83,27.63,0.35,2.074,c
AAPL260227C00270000,2026-02-25 19:20:28+00:00,270.0,5.6,4824.0,12710,274.521,27.6,0.15,2.069,c
AAPL260227C00272500,2026-02-25 19:21:35+00:00,272.5,3.6,11839.0,5564,274.5,27.57,0.05,2.068,c
AAPL260227C00275000,2026-02-25 19:22:03+00:00,275.0,2.08,20972.0,29013,274.5,27.57,0.02,2.068,c
AAPL260227C00277500,2026-02-25 19:21:23+00:00,277.5,1.04,8751.0,7609,274.595,27.58,0.02,2.068,c
AAPL260227C00280000,2026-02-25 19:21:57+00:00,280.0,0.46,13886.0,36397,274.5,27.57,0.01,2.068,c
AAPL260227C00282500,2026-02-25 19:21:00+00:00,282.5,0.17,8730.0,9991,274.595,27.58,0.01,2.069,c
AAPL260227C00285000,2026-02-25 19:20:32+00:00,285.0,0.07,6523.0,13705,274.595,27.58,0.02,2.069,c
AAPL260227C00287500,2026-02-25 19:17:36+00:00,287.5,0.04,5397.0,6551,274.815,27.58,0.01,2.071,c
AAPL260227C00290000,2026-02-25 18:59:48+00:00,290.0,0.01,2088.0,4401,274.63,27.59,0.01,2.083,c
AAPL260227C00292500,2026-02-25 18:54:39+00:00,292.5,0.02,331.0,1631,274.575,27.62,0.01,2.087,c
AAPL260227C00295000,2026-02-24 20:26:55+00:00,295.0,0.01,4.0,5835,272.15,28.86,0.01,3.023,c
AAPL260227C00297500,2026-02-24 20:13:54+00:00,297.5,0.01,59.0,636,271.66,28.97,0.01,3.032,c
AAPL260227C00300000,2026-02-25 18:53:19+00:00,300.0,0.01,15.0,3983,274.595,27.62,0.01,2.088,c
AAPL260227C00302500,2026-02-24 18:58:24+00:00,302.5,0.02,20.0,504,272.19,28.61,0.01,3.084,c
AAPL260227C00305000,2026-02-25 14:43:13+00:00,305.0,0.01,6.0,1441,272.47,28.0,0.01,2.262,c
AAPL260227C00310000,2026-02-24 17:20:39+00:00,310.0,0.02,10.0,704,272.335,28.41,0.02,3.152,c
AAPL260227C00315000,2026-02-24 15:01:07+00:00,315.0,0.01,1.0,224,273.92,28.75,0.01,3.249,c
AAPL260227C00320000,2026-02-18 15:25:05+00:00,320.0,0.01,4.0,63,263.61,30.54,0.01,9.233,c
AAPL260227C00325000,2026-02-20 20:59:58+00:00,325.0,0.01,5.0,113,264.59,28.5,0.01,7.0,c
AAPL260227C00330000,2026-02-19 15:00:01+00:00,330.0,0.01,7.0,18,263.745,29.81,0.01,8.25,c
AAPL260227C00335000,2026-02-23 15:53:55+00:00,335.0,0.01,3.0,63,266.7,28.92,0.01,4.213,c
