contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AAPL270115C00005000,2026-02-25 17:12:37+00:00,5.0,268.85,256.95,260.7,1.0,53,1,166.41,,,0.0365,
AAPL270115C00010000,2026-02-24 18:18:48+00:00,10.0,262.32,251.95,255.5,2.0,55,1,221.34,,445.532,0.0365,
AAPL270115C00015000,2026-02-24 14:32:13+00:00,15.0,254.49,246.9,250.55,1.0,17,1,188.09,,257.5492,0.0365,
AAPL270115C00020000,2026-03-02 14:31:52+00:00,20.0,241.5,242.1,245.65,3.0,13,1,109.18,262.9377,,0.0365,32.13
AAPL270115C00025000,2025-05-23 17:36:45+00:00,25.0,172.1,174.8,178.65,3.0,5,1,0.0,,,0.0365,
AAPL270115C00030000,2025-08-08 13:57:09+00:00,30.0,192.4,208.35,212.05,3.0,4,1,0.0,,,0.0365,
AAPL270115C00035000,2025-05-06 16:43:54+00:00,35.0,165.98,165.3,169.2,1.0,5,1,0.0,,,0.0365,
AAPL270115C00040000,2025-12-23 15:26:52+00:00,40.0,231.83,217.25,221.05,10.0,39,1,0.0,,150.4554,0.0365,
AAPL270115C00045000,2025-10-09 13:39:10+00:00,45.0,213.4,227.25,230.95,1.0,2,1,175.66,,,0.0365,
AAPL270115C00050000,2026-02-02 14:45:10+00:00,50.0,212.5,213.3,216.65,100.0,178,1,96.44,,,0.0365,
AAPL270115C00060000,2026-02-27 14:52:01+00:00,60.0,212.15,203.65,207.05,10.0,134,1,90.36,271.18,,0.0365,28.56
AAPL270115C00070000,2026-02-12 16:23:52+00:00,70.0,199.24,194.05,197.45,1.0,140,1,84.91,,93.6424,0.0365,
AAPL270115C00080000,2026-01-30 20:41:08+00:00,80.0,183.4,184.45,187.85,4.0,329,1,79.77,,,0.0365,
AAPL270115C00085000,2026-01-16 15:13:50+00:00,85.0,180.68,179.65,183.05,12.0,107,1,77.32,,,0.0365,
AAPL270115C00090000,2026-02-18 18:57:42+00:00,90.0,177.96,174.85,178.25,1.0,395,1,74.94,,64.7476,0.0365,
AAPL270115C00095000,2025-12-30 16:12:23+00:00,95.0,181.25,164.65,168.35,10.0,24,1,0.0,,92.4892,0.0365,
AAPL270115C00100000,2026-03-02 18:17:08+00:00,100.0,168.95,165.3,168.7,4.0,543,1,70.62,265.46,49.1929,0.0365,29.86
AAPL270115C00105000,2026-02-23 18:34:33+00:00,105.0,169.0,160.55,163.95,1.0,73,1,68.65,,84.0667,0.0365,
AAPL270115C00110000,2026-02-10 20:53:53+00:00,110.0,167.25,155.8,159.2,1.0,251,1,66.7,,88.4408,0.0365,
AAPL270115C00115000,2026-02-24 17:51:07+00:00,115.0,161.55,151.05,154.5,10.0,101,1,64.87,,84.294,0.0365,
AAPL270115C00120000,2026-02-24 14:32:49+00:00,120.0,155.93,146.35,149.75,1.0,552,1,63.06,,78.4505,0.0365,
AAPL270115C00125000,2026-02-23 17:14:47+00:00,125.0,146.05,141.65,145.05,10.0,289,1,61.35,,57.9201,0.0365,
AAPL270115C00130000,2026-03-02 14:50:40+00:00,130.0,137.85,136.95,140.4,10.0,427,1,59.73,262.68,44.1288,0.0365,30.92
AAPL270115C00135000,2026-02-25 20:25:14+00:00,135.0,144.02,132.3,135.7,1.0,1574,1,58.11,,75.9416,0.0365,
AAPL270115C00140000,2026-02-09 18:21:23+00:00,140.0,137.55,127.65,131.05,4.0,1563,1,56.55,,66.7548,0.0365,
AAPL270115C00145000,2026-02-24 20:57:12+00:00,145.0,133.07,123.05,125.8,1.0,6397,1,54.21,,66.6828,0.0365,
AAPL270115C00150000,2026-02-27 20:50:00+00:00,150.0,117.5,118.75,121.65,3.0,1730,1,53.81,264.78,,0.0365,29.36
AAPL270115C00155000,2026-02-13 14:46:08+00:00,155.0,112.55,113.9,116.4,2.0,157,1,51.22,,,0.0365,
AAPL270115C00160000,2026-02-24 15:49:34+00:00,160.0,121.2,109.65,112.4,2.0,683,1,50.91,,64.0786,0.0365,
AAPL270115C00165000,2026-03-02 14:58:59+00:00,165.0,106.07,105.25,108.05,1.0,324,1,52.89,263.13,38.5547,0.0365,30.96
AAPL270115C00170000,2026-02-25 15:54:08+00:00,170.0,111.0,101.7,102.75,5.0,1249,1,49.81,,57.8293,0.0365,
AAPL270115C00175000,2026-02-24 16:15:57+00:00,175.0,107.9,97.3,98.35,5.0,1527,1,48.58,,58.3724,0.0365,
AAPL270115C00180000,2026-03-03 18:52:20+00:00,180.0,92.51,93.0,93.95,9.0,973,1,47.31,262.92,36.4406,0.0365,31.31
AAPL270115C00185000,2026-03-03 14:33:26+00:00,185.0,88.15,88.55,89.75,1.0,798,1,46.36,261.91,37.8561,0.0365,33.71
AAPL270115C00190000,2026-03-02 16:55:20+00:00,190.0,86.7,84.55,85.35,1.0,1081,1,45.01,265.73,35.7481,0.0365,30.22
AAPL270115C00195000,2026-03-02 14:30:02+00:00,195.0,79.73,80.2,81.15,1.0,731,1,43.95,260.65,38.4444,0.0365,32.13
AAPL270115C00200000,2026-03-03 20:57:15+00:00,200.0,76.55,76.25,77.0,10.0,14146,1,42.9,263.8,34.5415,0.0365,31.45
AAPL270115C00210000,2026-03-03 17:25:09+00:00,210.0,67.54,68.3,69.1,18.0,2395,1,41.19,261.9,34.4868,0.0365,32.46
AAPL270115C00220000,2026-03-03 16:19:24+00:00,220.0,58.45,60.55,61.3,19.0,7471,1,39.31,262.64,30.3909,0.0365,32.94
AAPL270115C00230000,2026-03-03 18:52:09+00:00,230.0,52.9,53.15,53.85,6.0,9759,1,37.57,262.92,31.7048,0.0365,31.31
AAPL270115C00240000,2026-03-03 20:04:49+00:00,240.0,46.1,46.25,46.85,5.0,8491,1,36.01,262.98,30.8524,0.0365,31.37
AAPL270115C00250000,2026-03-03 20:04:56+00:00,250.0,39.6,39.75,40.4,89.0,11361,1,34.67,262.98,29.9095,0.0365,31.37
AAPL270115C00260000,2026-03-03 20:43:57+00:00,260.0,33.75,33.8,34.35,82.0,14718,1,33.34,263.31,28.97,0.0365,31.35
AAPL270115C00270000,2026-03-03 20:23:16+00:00,270.0,27.95,28.55,28.8,62.0,10919,0,32.09,262.62,28.2164,0.0365,31.45
AAPL270115C00280000,2026-03-03 20:54:00+00:00,280.0,23.5,23.65,23.85,190.0,31802,0,30.98,263.36,27.5091,0.0365,31.39
AAPL270115C00290000,2026-03-03 20:52:11+00:00,290.0,18.89,19.3,19.55,151.0,6575,0,30.05,262.375,26.9791,0.0365,31.8
AAPL270115C00300000,2026-03-03 20:53:52+00:00,300.0,15.45,15.6,15.85,287.0,37828,0,29.25,263.075,26.3366,0.0365,31.58
AAPL270115C00310000,2026-03-03 20:37:49+00:00,310.0,12.4,12.45,12.7,122.0,12955,0,28.54,263.43,25.7809,0.0365,31.21
AAPL270115C00320000,2026-03-03 20:52:33+00:00,320.0,9.65,9.9,10.05,459.0,24064,0,27.9,263.075,25.3028,0.0365,31.58
AAPL270115C00330000,2026-03-03 20:37:56+00:00,330.0,7.8,7.8,8.0,333.0,15434,0,27.52,263.43,25.1749,0.0365,31.21
AAPL270115C00340000,2026-03-03 20:37:40+00:00,340.0,6.1,6.05,6.3,29.0,3005,0,27.15,263.43,24.9193,0.0365,31.21
AAPL270115C00350000,2026-03-03 20:54:11+00:00,350.0,4.8,4.75,4.95,118.0,16101,0,26.87,263.36,24.8267,0.0365,31.39
AAPL270115C00360000,2026-03-03 19:19:47+00:00,360.0,3.83,3.7,3.85,21.0,3332,0,26.6,263.51,24.8264,0.0365,31.1
AAPL270115C00370000,2026-03-03 18:59:35+00:00,370.0,2.92,2.92,3.05,11.0,3021,0,26.52,262.48,24.8428,0.0365,31.33
AAPL270115C00380000,2026-03-03 18:59:35+00:00,380.0,2.3,2.29,2.4,2.0,2445,0,26.43,262.48,24.8544,0.0365,31.33
AAPL270115C00390000,2026-03-03 18:47:42+00:00,390.0,1.81,1.8,1.89,4.0,1358,0,26.38,262.495,24.8748,0.0365,31.54
AAPL270115C00400000,2026-03-03 20:47:25+00:00,400.0,1.45,1.42,1.51,61.0,3961,0,26.42,263.15,24.8687,0.0365,31.43
AAPL270115C00410000,2026-03-03 17:57:58+00:00,410.0,1.13,1.13,1.22,2.0,1375,0,26.52,260.84,25.3185,0.0365,33.19
AAPL270115C00420000,2026-03-03 17:20:33+00:00,420.0,0.95,0.91,0.99,15.0,1888,0,26.64,261.945,25.4311,0.0365,32.71
AAPL270115C00430000,2026-03-03 20:26:58+00:00,430.0,0.78,0.73,0.79,26.0,1181,0,26.69,262.84,25.478,0.0365,31.36
AAPL270115C00440000,2026-03-03 17:51:09+00:00,440.0,0.63,0.61,0.66,1.0,1165,0,26.91,261.33,25.8745,0.0365,33.18
AAPL270115C00450000,2026-03-03 19:58:37+00:00,450.0,0.52,0.5,0.57,25.0,16657,0,27.26,263.2601,25.742,0.0365,31.22
AAPL270115C00460000,2026-02-24 15:52:45+00:00,460.0,0.65,0.37,0.53,9.0,94,0,27.87,,27.1343,0.0365,
AAPL270115C00470000,2026-03-03 18:41:32+00:00,470.0,0.4,0.31,0.39,2.0,177,0,27.56,262.24,26.7151,0.0365,31.53
AAPL270115C00480000,2026-02-27 17:43:28+00:00,480.0,0.36,0.27,0.34,1.0,7136,0,27.88,267.51,26.1312,0.0365,28.03
AAPL270115C00490000,2026-02-23 20:28:38+00:00,490.0,0.35,0.27,0.29,2.0,593,0,28.1,,27.262,0.0365,
AAPL270115C00500000,2026-03-03 19:25:30+00:00,500.0,0.2,0.2,0.26,15.0,1251,0,28.49,263.72,26.5284,0.0365,31.0
AAPL270115C00510000,2026-02-24 20:24:37+00:00,510.0,0.27,0.19,0.23,3.0,85,0,28.81,,27.921,0.0365,
AAPL270115C00520000,2026-02-23 20:05:26+00:00,520.0,0.21,0.11,0.41,1.0,317,0,31.7,,27.752,0.0365,
AAPL270115C00530000,2026-03-02 17:29:06+00:00,530.0,0.15,0.14,0.18,2.0,3307,0,29.4,266.0,27.376,0.0365,29.96
AAPL270115C00540000,2026-02-20 15:17:22+00:00,540.0,0.15,0.09,0.16,51.0,417,0,29.66,,27.8934,0.0365,
AAPL270115C00550000,2026-03-03 20:49:31+00:00,550.0,0.11,0.11,0.15,1.0,4784,0,30.08,262.68,28.2885,0.0365,31.68
