contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AMZN281215P00105000,2026-02-25 20:42:05+00:00,105.0,5.95,2.0,153,0,37.7966,210.35,41.6251,0.0364,35.03
AMZN281215P00110000,2026-02-18 17:57:39+00:00,110.0,6.75,1.0,161,0,37.2901,,41.1471,0.0364,
AMZN281215P00115000,2026-02-25 15:49:13+00:00,115.0,7.55,1.0,990,0,36.8476,210.93,40.7921,0.0364,35.25
AMZN281215P00120000,2026-02-23 19:46:10+00:00,120.0,9.4,1.0,2718,0,36.3837,204.53,40.8973,0.0364,37.92
AMZN281215P00125000,2026-02-25 14:54:02+00:00,125.0,9.85,7.0,343,0,35.8985,210.705,40.6357,0.0364,35.17
AMZN281215P00130000,2026-02-24 15:57:37+00:00,130.0,11.42,1.0,395,0,35.5292,207.685,40.4753,0.0364,35.92
AMZN281215P00135000,2026-02-25 17:51:53+00:00,135.0,12.41,5.0,227,0,35.1325,209.39,40.1851,0.0364,35.3
AMZN281215P00140000,2026-02-24 16:08:57+00:00,140.0,13.97,12.0,839,0,34.7663,208.38,40.0799,0.0364,35.98
AMZN281215P00145000,2026-02-23 14:49:18+00:00,145.0,16.04,36.0,1535,0,34.426,206.035,40.2154,0.0364,37.53
AMZN281215P00150000,2026-02-25 17:51:53+00:00,150.0,16.89,11.0,1550,0,33.9515,209.39,39.8952,0.0364,35.3
AMZN281215P00155000,2026-02-24 15:28:42+00:00,155.0,18.85,21.0,359,0,33.8126,207.76,39.8107,0.0364,35.87
AMZN281215P00160000,2026-02-24 17:23:36+00:00,160.0,20.15,1.0,1901,0,33.3884,209.6482,39.6176,0.0364,35.58
AMZN281215P00165000,2026-02-25 15:28:25+00:00,165.0,21.75,3.0,3403,0,33.2206,210.54,39.5143,0.0364,35.01
AMZN281215P00170000,2026-02-25 20:48:12+00:00,170.0,23.75,1.0,2466,0,32.8376,210.405,39.5342,0.0364,34.96
AMZN281215P00175000,2026-02-25 16:39:47+00:00,175.0,25.75,30.0,3567,0,32.6469,209.85,39.38,0.0364,35.03
AMZN281215P00180000,2026-02-25 16:57:45+00:00,180.0,27.9,25.0,1678,0,32.3814,209.6299,39.3641,0.0364,35.05
AMZN281215P00185000,2026-02-23 17:15:46+00:00,185.0,30.0,1.0,1192,0,32.1296,203.77,37.9086,0.0364,38.11
AMZN281215P00190000,2026-02-25 19:14:40+00:00,190.0,32.45,4.0,329,0,31.8885,209.945,39.5156,0.0364,35.5
AMZN281215P00195000,2026-02-24 19:13:14+00:00,195.0,35.2,3.0,986,0,31.623,209.565,39.7648,0.0364,36.39
AMZN281215P00200000,2026-02-25 18:16:52+00:00,200.0,37.41,15.0,2588,0,31.3712,209.275,39.5302,0.0364,35.64
AMZN281215P00210000,2026-02-25 14:32:36+00:00,210.0,42.0,10.0,709,0,30.8326,210.92,39.5838,0.0364,35.49
AMZN281215P00220000,2026-02-25 20:07:21+00:00,220.0,47.72,4.0,465,1,30.352,210.42,39.8184,0.0364,35.08
AMZN281215P00230000,2026-02-25 16:58:00+00:00,230.0,53.65,2.0,1026,1,29.8248,209.6299,39.9161,0.0364,35.05
AMZN281215P00240000,2026-02-25 15:14:32+00:00,240.0,59.25,29.0,1523,1,29.293,210.65,40.0907,0.0364,35.13
AMZN281215P00250000,2026-02-25 20:16:25+00:00,250.0,66.24,2.0,303,1,28.7956,210.39,40.7781,0.0364,35.09
AMZN281215P00260000,2026-02-23 16:03:50+00:00,260.0,76.45,2.0,163,1,28.3058,203.84,41.6407,0.0364,38.31
AMZN281215P00270000,2026-02-23 15:25:05+00:00,270.0,82.9,2.0,99,1,27.7565,204.67,41.8955,0.0364,37.58
AMZN281215P00280000,2026-02-24 18:02:43+00:00,280.0,87.1,11.0,124,1,27.1858,209.68,41.8607,0.0364,35.53
AMZN281215P00290000,2026-02-20 19:33:05+00:00,290.0,94.49,1.0,7,1,26.6426,209.81,42.3868,0.0364,34.93
AMZN281215P00300000,2026-02-24 15:15:44+00:00,300.0,105.0,1.0,159,1,27.671,206.25,43.7827,0.0364,36.86
AMZN281215P00310000,2026-02-13 20:12:56+00:00,310.0,117.5,2.0,18,1,25.4997,,49.1954,0.0364,
AMZN281215P00320000,2026-02-11 19:21:15+00:00,320.0,120.76,181.0,204,1,24.868,,46.5085,0.0364,
AMZN281215P00330000,2026-02-23 15:53:23+00:00,330.0,130.33,2.0,28,1,24.25,204.5899,46.011,0.0364,37.74
AMZN281215P00340000,2026-02-25 19:40:37+00:00,340.0,134.75,2.0,18,1,25.8354,210.31,46.1723,0.0364,35.34
AMZN281215P00350000,2026-02-24 18:50:44+00:00,350.0,143.7,1.0,116,1,25.1259,210.115,47.2359,0.0364,36.05
AMZN281215P00360000,2026-02-20 19:11:12+00:00,360.0,152.25,8.0,105,1,24.7948,210.095,48.0132,0.0364,35.06
AMZN281215P00370000,2026-02-24 16:17:59+00:00,370.0,162.72,2.0,50,1,24.2805,208.59,49.5566,0.0364,35.87
