contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
AMZN260225C00150000,2026-02-25 16:52:32+00:00,150.0,59.95,10.0,7,209.85,34.96,3.55,0.172,c
AMZN260225C00155000,2026-02-25 16:52:32+00:00,155.0,55.02,10.0,8,209.85,34.96,3.55,0.172,c
AMZN260225C00165000,2026-02-25 16:00:23+00:00,165.0,45.47,14.0,3,210.27,35.33,1.6,0.208,c
AMZN260225C00170000,2026-02-13 18:34:25+00:00,170.0,30.38,,5,204.663,36.66,3.5,12.101,c
AMZN260225C00175000,2026-02-23 16:50:38+00:00,175.0,29.24,4.0,3,204.53,37.71,2.95,2.173,c
AMZN260225C00180000,2026-02-24 17:32:18+00:00,180.0,29.48,2.0,11,209.456,35.53,3.2,1.144,c
AMZN260225C00182500,2026-02-24 17:32:18+00:00,182.5,27.05,2.0,43,209.456,35.53,0.15,1.144,c
AMZN260225C00185000,2026-02-23 17:48:52+00:00,185.0,18.78,4.0,32,203.8,37.98,0.15,2.133,c
AMZN260225C00187500,2026-02-23 17:48:52+00:00,187.5,16.29,4.0,3,203.8,37.98,0.15,2.133,c
AMZN260225C00190000,2026-02-25 17:45:24+00:00,190.0,19.63,9.0,75,209.13,35.28,0.1,0.135,c
AMZN260225C00192500,2026-02-25 17:55:30+00:00,192.5,16.85,1402.0,1403,209.384,35.3,0.15,0.128,c
AMZN260225C00195000,2026-02-25 18:35:42+00:00,195.0,14.0,1072.0,1120,209.035,35.78,0.1,0.1,c
AMZN260225C00197500,2026-02-25 18:13:27+00:00,197.5,11.81,1000.0,1262,209.265,35.63,0.15,0.116,c
AMZN260225C00200000,2026-02-25 18:42:53+00:00,200.0,9.22,226.0,525,209.25,35.71,0.15,0.095,c
AMZN260225C00202500,2026-02-25 18:33:46+00:00,202.5,6.55,266.0,1382,208.955,35.82,0.1,0.102,c
AMZN260225C00205000,2026-02-25 18:42:54+00:00,205.0,4.25,2641.0,2879,209.25,35.71,0.15,0.095,c
AMZN260225C00207500,2026-02-25 18:43:09+00:00,207.5,1.84,3059.0,4901,209.25,35.71,0.07,0.095,c
AMZN260225C00210000,2026-02-25 18:43:58+00:00,210.0,0.28,40580.0,9037,209.35,35.66,0.01,0.094,c
AMZN260225C00212500,2026-02-25 18:44:05+00:00,212.5,0.03,82498.0,8901,209.35,35.66,0.01,0.094,c
AMZN260225C00215000,2026-02-25 18:43:04+00:00,215.0,0.02,16904.0,4557,209.25,35.71,0.01,0.095,c
AMZN260225C00217500,2026-02-25 18:32:20+00:00,217.5,0.01,2962.0,3148,209.16,35.73,0.01,0.103,c
AMZN260225C00220000,2026-02-25 18:11:49+00:00,220.0,0.01,1676.0,2323,209.455,35.59,0.01,0.117,c
AMZN260225C00222500,2026-02-25 16:50:04+00:00,222.5,0.01,234.0,1625,209.79,35.03,0.01,0.174,c
AMZN260225C00225000,2026-02-25 15:01:43+00:00,225.0,0.01,250.0,2405,211.33,35.05,0.01,0.249,c
AMZN260225C00227500,2026-02-25 15:54:12+00:00,227.5,0.01,4.0,80,210.333,35.33,0.01,0.212,c
AMZN260225C00230000,2026-02-25 16:02:22+00:00,230.0,0.01,42.0,963,210.14,35.33,0.01,0.207,c
AMZN260225C00232500,2026-02-23 19:03:02+00:00,232.5,0.01,2.0,107,204.01,37.56,0.01,2.081,c
AMZN260225C00235000,2026-02-24 14:35:36+00:00,235.0,0.03,1.0,180,203.87,37.94,0.01,1.267,c
