contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN271217C00175000,2026-03-03 20:18:33+00:00,175.0,65.6,3.0,535,208.45,37.83,69.85,74.0,4.15,654.029,c
AMZN271217C00180000,2026-03-04 18:00:39+00:00,180.0,68.25,5.0,1221,215.59,35.37,66.85,70.0,3.15,653.125,c
AMZN271217C00185000,2026-03-04 17:01:59+00:00,185.0,65.18,8.0,792,215.32,34.87,64.15,66.55,2.4,653.165,c
AMZN271217C00190000,2026-03-04 18:28:14+00:00,190.0,62.75,16.0,913,216.01,35.61,62.85,63.3,0.45,653.105,c
AMZN271217C00195000,2026-03-04 15:06:42+00:00,195.0,59.5,2.0,437,214.86,36.3,60.15,60.6,0.45,653.245,c
AMZN271217C00200000,2026-03-04 18:35:01+00:00,200.0,57.68,59.0,6520,216.55,35.41,57.65,58.15,0.5,653.101,c
AMZN271217C00205000,2026-03-04 15:51:18+00:00,205.0,54.75,55.0,987,215.76,35.45,55.15,55.6,0.45,653.214,c
AMZN271217C00210000,2026-03-04 17:54:21+00:00,210.0,52.05,64.0,1648,215.39,35.34,52.6,53.05,0.45,653.129,c
AMZN271217C00215000,2026-03-04 18:00:59+00:00,215.0,50.05,15.0,1148,215.655,35.37,50.35,50.75,0.4,653.124,c
AMZN271217C00220000,2026-03-04 16:48:05+00:00,220.0,47.6,31.0,3803,215.89,34.89,48.25,48.65,0.4,653.175,c
AMZN271217C00225000,2026-03-04 15:27:12+00:00,225.0,46.75,7.0,3823,217.26,35.1,45.95,46.35,0.4,653.231,c
AMZN271217C00230000,2026-03-04 17:39:43+00:00,230.0,43.35,17.0,1770,215.11,35.23,43.9,44.3,0.4,653.139,c
AMZN271217C00235000,2026-03-03 18:51:48+00:00,235.0,38.05,131.0,1047,208.4,37.44,42.1,42.45,0.35,654.089,c
AMZN271217C00240000,2026-03-04 15:26:57+00:00,240.0,40.75,3.0,1198,217.24,35.14,40.0,40.35,0.35,653.231,c
AMZN271217C00245000,2026-03-04 16:57:44+00:00,245.0,37.69,19.0,901,215.205,34.86,38.4,38.8,0.4,653.168,c
AMZN271217C00250000,2026-03-04 18:32:25+00:00,250.0,36.6,3282.0,3621,216.02,35.5,36.5,36.9,0.4,653.102,c
AMZN271217C00255000,2026-03-03 19:42:30+00:00,255.0,31.58,2.0,680,208.37,37.51,34.85,35.2,0.35,654.054,c
AMZN271217C00260000,2026-03-04 15:21:54+00:00,260.0,33.15,111.0,2445,215.6,35.32,33.4,33.75,0.35,653.235,c
AMZN271217C00265000,2026-03-04 17:33:50+00:00,265.0,31.21,55.0,545,214.78,35.49,31.75,32.15,0.4,653.143,c
AMZN271217C00270000,2026-03-03 16:18:59+00:00,270.0,25.85,2.0,1169,205.005,39.11,30.35,30.65,0.3,654.195,c
AMZN271217C00275000,2026-03-03 15:13:17+00:00,275.0,24.6,1.0,741,203.79,40.45,29.1,29.45,0.35,654.241,c
AMZN271217C00280000,2026-03-04 15:12:00+00:00,280.0,27.0,4.0,821,214.565,35.66,27.65,28.05,0.4,653.242,c
AMZN271217C00285000,2026-03-02 16:23:18+00:00,285.0,23.2,1.0,471,206.905,36.91,26.6,26.95,0.35,655.192,c
AMZN271217C00290000,2026-03-04 18:35:01+00:00,290.0,25.45,32.0,1921,216.55,35.41,25.35,25.7,0.35,653.101,c
AMZN271217C00295000,2026-02-23 20:44:05+00:00,295.0,20.85,11.0,338,210.085,34.72,24.15,24.55,0.4,662.011,c
AMZN271217C00300000,2026-03-04 18:35:01+00:00,300.0,23.25,81.0,5310,216.55,35.41,23.15,23.5,0.35,653.101,c
AMZN271217C00305000,2026-03-04 18:24:18+00:00,305.0,22.1,21.0,300,215.86,35.61,22.05,22.4,0.35,653.108,c
AMZN271217C00310000,2026-03-04 14:58:31+00:00,310.0,20.75,1.0,1348,214.855,36.73,21.1,21.4,0.3,653.251,c
AMZN271217C00315000,2026-03-04 18:34:39+00:00,315.0,20.35,11.0,1097,216.55,35.41,20.15,20.5,0.35,653.101,c
AMZN271217C00320000,2026-03-04 17:51:04+00:00,320.0,18.95,21.0,3649,215.025,35.26,19.3,19.65,0.35,653.131,c
AMZN271217C00325000,2026-03-03 16:49:25+00:00,325.0,15.84,1.0,658,206.56,38.74,18.45,18.85,0.4,654.174,c
AMZN271217C00330000,2026-03-03 15:42:18+00:00,330.0,14.6,31.0,1577,203.82,40.6,17.6,18.0,0.4,654.221,c
AMZN271217C00340000,2026-03-04 18:34:40+00:00,340.0,16.01,56.0,1907,216.095,35.45,16.1,16.5,0.4,653.101,c
AMZN271217C00350000,2026-03-04 18:30:33+00:00,350.0,14.75,22.0,5505,215.99,35.51,14.7,15.05,0.35,653.104,c
AMZN271217C00360000,2026-03-02 15:01:47+00:00,360.0,13.1,1.0,315,207.327,37.86,13.35,13.65,0.3,655.249,c
AMZN271217C00370000,2026-03-04 18:33:42+00:00,370.0,12.16,4844.0,3454,215.94,35.48,12.25,12.6,0.35,653.102,c
AMZN271217P00085000,2026-03-03 15:41:06+00:00,85.0,2.17,2.0,1830,203.85,40.51,1.68,1.87,0.19,654.221,p
AMZN271217P00090000,2026-03-02 15:00:14+00:00,90.0,2.36,9.0,181,206.81,37.9,2.01,2.2,0.19,655.25,p
AMZN271217P00095000,2026-03-03 15:42:20+00:00,95.0,3.04,1.0,306,203.82,40.6,2.37,2.57,0.2,654.221,p
AMZN271217P00100000,2026-03-03 19:31:12+00:00,100.0,3.29,5.0,778,207.87,37.67,2.8,3.05,0.25,654.062,p
AMZN271217P00105000,2026-03-03 15:23:45+00:00,105.0,4.3,1.0,165,203.08,41.22,3.25,3.5,0.25,654.234,p
AMZN271217P00110000,2026-03-02 20:02:53+00:00,110.0,4.48,6.0,525,208.39,36.72,3.8,4.05,0.25,655.04,p
AMZN271217P00115000,2026-02-23 16:04:28+00:00,115.0,5.45,5.0,974,210.085,34.72,4.4,4.65,0.25,662.205,p
AMZN271217P00120000,2026-03-02 18:12:13+00:00,120.0,5.85,3.0,6494,208.61,36.25,5.1,5.35,0.25,655.117,p
AMZN271217P00125000,2026-03-03 15:46:18+00:00,125.0,7.35,230.0,597,203.925,40.55,5.85,6.1,0.25,654.218,p
AMZN271217P00130000,2026-03-03 14:36:55+00:00,130.0,8.42,1.0,812,204.04,41.25,6.7,6.95,0.25,654.266,p
AMZN271217P00135000,2026-03-03 15:43:00+00:00,135.0,9.55,318.0,4511,203.515,40.67,7.6,7.9,0.3,654.22,p
AMZN271217P00140000,2026-03-04 17:44:35+00:00,140.0,8.91,3.0,9421,215.19,35.26,8.6,8.9,0.3,653.136,p
AMZN271217P00145000,2026-03-04 18:31:21+00:00,145.0,9.9,1.0,1031,215.99,35.51,9.75,10.05,0.3,653.103,p
AMZN271217P00150000,2026-03-04 16:27:38+00:00,150.0,11.15,4.0,4232,215.495,35.32,10.9,11.25,0.35,653.189,p
AMZN271217P00155000,2026-03-02 18:17:57+00:00,155.0,13.8,3.0,1207,208.77,36.3,12.2,12.5,0.3,655.113,p
AMZN271217P00160000,2026-03-04 15:26:42+00:00,160.0,13.62,8.0,2374,217.24,35.14,13.6,13.95,0.35,653.231,p
AMZN271217P00165000,2026-03-03 15:27:07+00:00,165.0,15.19,1.0,788,202.77,41.53,15.05,15.4,0.35,654.231,p
AMZN271217P00170000,2026-03-04 15:26:42+00:00,170.0,16.61,8.0,4256,217.24,35.14,16.6,16.95,0.35,653.231,p
AMZN271217P00175000,2026-03-02 17:45:43+00:00,175.0,20.65,1.0,3313,208.285,36.55,18.35,18.7,0.35,655.135,p
AMZN271217P00180000,2026-03-04 15:08:18+00:00,180.0,20.62,12.0,4550,214.8,36.11,20.0,20.4,0.4,653.244,p
AMZN271217P00185000,2026-03-04 15:48:32+00:00,185.0,22.22,5.0,4350,215.91,35.43,22.0,22.4,0.4,653.216,p
AMZN271217P00190000,2026-03-04 15:48:32+00:00,190.0,24.19,5.0,3951,215.91,35.43,23.95,24.3,0.35,653.216,p
AMZN271217P00195000,2026-03-04 17:53:22+00:00,195.0,26.42,3.0,1545,215.59,35.27,26.1,26.45,0.35,653.13,p
AMZN271217P00200000,2026-03-04 18:35:01+00:00,200.0,28.48,15.0,4687,216.55,35.41,28.4,28.65,0.25,653.101,p
AMZN271217P00205000,2026-03-04 15:52:09+00:00,205.0,30.74,8.0,1164,215.345,35.49,30.5,30.9,0.4,653.214,p
AMZN271217P00210000,2026-03-03 20:23:19+00:00,210.0,35.9,533.0,1636,208.54,37.83,33.05,33.4,0.35,654.025,p
