contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AAPL260304C00210000,2026-02-26 16:00:27+00:00,210.0,61.31,,1,271.15,27.87,51.3,54.65,3.35,6.208,c
AAPL260304C00215000,2026-02-19 19:55:27+00:00,215.0,45.75,,5,272.16,28.29,47.6,49.35,1.75,13.045,c
AAPL260304C00220000,2026-03-03 16:55:26+00:00,220.0,42.73,1.0,5,262.659,32.42,41.45,44.4,2.95,1.17,c
AAPL260304C00225000,2026-03-03 16:55:26+00:00,225.0,37.85,1.0,22,262.659,32.42,37.85,39.3,1.45,1.17,c
AAPL260304C00230000,2026-03-02 15:12:55+00:00,230.0,33.5,1.0,1,263.982,30.13,31.2,34.2,3.0,2.241,c
AAPL260304C00232500,2026-02-20 18:46:52+00:00,232.5,32.43,106.0,4,264.325,31.09,29.2,31.45,2.25,12.092,c
AAPL260304C00235000,2026-03-02 16:16:06+00:00,235.0,29.43,3.0,4,264.61,30.24,27.25,28.95,1.7,2.197,c
AAPL260304C00237500,2026-02-20 18:50:12+00:00,237.5,26.95,107.0,5,272.16,28.29,24.75,26.65,1.9,12.09,c
AAPL260304C00240000,2026-02-26 16:52:06+00:00,240.0,32.43,,16,271.88,27.51,21.45,24.15,2.7,6.172,c
AAPL260304C00242500,2026-03-03 14:40:19+00:00,242.5,19.75,4.0,2,264.35,33.31,19.7,21.7,2.0,1.264,c
AAPL260304C00245000,2026-03-03 14:59:19+00:00,245.0,17.18,2.0,25,262.32,33.88,17.2,19.2,2.0,1.25,c
AAPL260304C00247500,2026-02-23 14:40:32+00:00,247.5,18.5,,4,272.16,28.29,13.85,16.55,2.7,9.264,c
AAPL260304C00250000,2026-03-03 18:51:45+00:00,250.0,13.15,4.0,19,263.02,31.28,12.45,13.8,1.35,1.089,c
AAPL260304C00252500,2026-03-03 18:16:47+00:00,252.5,8.69,12.0,39,260.92,33.07,9.85,11.3,1.45,1.113,c
AAPL260304C00255000,2026-03-03 19:12:59+00:00,255.0,8.45,139.0,108,263.11,31.48,8.15,8.75,0.6,1.074,c
AAPL260304C00257500,2026-03-03 19:13:17+00:00,257.5,6.12,264.0,61,263.27,31.53,5.9,6.4,0.5,1.074,c
AAPL260304C00260000,2026-03-03 19:14:10+00:00,260.0,4.2,6241.0,331,263.42,31.29,4.2,4.3,0.1,1.073,c
AAPL260304C00262500,2026-03-03 19:14:05+00:00,262.5,2.5,18585.0,472,263.42,31.29,2.47,2.52,0.05,1.074,c
AAPL260304C00265000,2026-03-03 19:14:15+00:00,265.0,1.2,29232.0,2000,263.42,31.29,1.2,1.21,0.01,1.073,c
AAPL260304C00267500,2026-03-03 19:14:09+00:00,267.5,0.45,19613.0,3866,263.42,31.29,0.44,0.46,0.02,1.074,c
AAPL260304C00270000,2026-03-03 19:13:36+00:00,270.0,0.15,39158.0,4875,263.42,31.29,0.14,0.15,0.01,1.074,c
