iter	Passed	Remaining
0	26	79573
1	51	77447
2	74	74502
3	103	77456
4	133	80261
5	159	79570
6	184	78684
7	209	78357
8	236	78445
9	266	79612
10	293	79689
11	321	79939
12	350	80429
13	376	80260
14	398	79348
15	422	78868
16	449	78866
17	476	78879
18	501	78672
19	528	78754
20	555	78800
21	583	78995
22	611	79188
23	633	78563
24	656	78124
25	681	77963
26	707	77912
27	737	78256
28	773	79236
29	812	80399
30	841	80561
31	875	81177
32	910	81836
33	942	82211
34	979	82941
35	1009	83096
36	1034	82872
37	1063	82877
38	1095	83138
39	1122	83077
40	1150	83056
41	1174	82753
42	1204	82796
43	1232	82787
44	1254	82399
45	1280	82217
46	1306	82082
47	1330	81821
48	1354	81595
49	1382	81583
50	1405	81254
51	1431	81141
52	1452	80767
53	1478	80654
54	1503	80484
55	1530	80458
56	1560	80552
57	1594	80879
58	1618	80666
59	1645	80652
60	1674	80658
61	1697	80452
62	1726	80506
63	1753	80451
64	1779	80337
65	1803	80171
66	1826	79971
67	1854	79949
68	1877	79742
69	1902	79626
70	1923	79343
71	1949	79282
72	1974	79163
73	2001	79121
74	2024	78944
75	2048	78803
76	2069	78567
77	2095	78495
78	2117	78295
79	2140	78127
80	2166	78078
81	2192	78015
82	2212	77747
83	2233	77550
84	2256	77381
85	2278	77211
86	2303	77141
87	2329	77073
88	2355	77038
89	2376	76850
90	2399	76720
91	2425	76665
92	2448	76540
93	2474	76513
94	2501	76479
95	2524	76379
96	2546	76216
97	2573	76201
98	2600	76199
99	2623	76089
100	2647	75998
101	2674	75973
102	2699	75915
103	2728	75987
104	2754	75955
105	2781	75943
106	2805	75856
107	2835	75927
108	2856	75766
109	2884	75781
110	2910	75739
111	2936	75718
112	2964	75745
113	2987	75638
114	3012	75567
115	3035	75468
116	3060	75416
117	3086	75393
118	3116	75451
119	3142	75422
120	3167	75360
121	3194	75358
122	3223	75406
123	3250	75383
124	3276	75350
125	3302	75334
126	3326	75245
127	3349	75147
128	3375	75133
129	3401	75093
130	3424	75009
131	3450	74975
132	3478	74982
133	3503	74937
134	3529	74911
135	3560	74975
136	3592	75065
137	3621	75111
138	3651	75150
139	3677	75134
140	3705	75126
141	3732	75126
142	3762	75174
143	3787	75124
144	3815	75126
145	3837	75006
146	3860	74924
147	3885	74865
148	3909	74800
149	3934	74748
150	3960	74728
151	3985	74676
152	4011	74642
153	4036	74603
154	4066	74638
155	4093	74624
156	4118	74585
157	4145	74566
158	4172	74561
159	4200	74558
160	4229	74580
161	4261	74663
162	4291	74694
163	4316	74636
164	4338	74551
165	4362	74483
166	4389	74459
167	4414	74420
168	4442	74416
169	4471	74442
170	4496	74384
171	4522	74357
172	4550	74363
173	4574	74290
174	4595	74183
175	4621	74160
176	4647	74120
177	4673	74087
178	4700	74078
179	4722	73984
180	4750	73994
181	4773	73912
182	4799	73873
183	4823	73817
184	4852	73830
185	4879	73824
186	4904	73782
187	4931	73756
188	4957	73731
189	4981	73677
190	5007	73643
191	5033	73615
192	5059	73583
193	5082	73509
194	5109	73502
195	5134	73448
196	5157	73381
197	5183	73351
198	5207	73291
199	5231	73246
200	5255	73184
201	5280	73142
202	5307	73128
203	5334	73119
204	5357	73047
205	5380	72978
206	5401	72887
207	5426	72837
208	5454	72842
209	5479	72794
210	5508	72804
211	5542	72889
212	5571	72902
213	5600	72907
214	5628	72902
215	5649	72820
216	5672	72747
217	5700	72746
218	5726	72722
219	5752	72692
220	5778	72668
221	5801	72599
222	5828	72575
223	5856	72580
224	5882	72549
225	5913	72587
226	5941	72586
227	5970	72591
228	5999	72599
229	6027	72595
230	6053	72568
231	6080	72546
232	6108	72543
233	6131	72477
234	6156	72441
235	6177	72354
236	6204	72337
237	6232	72329
238	6256	72278
239	6280	72223
240	6306	72197
241	6332	72167
242	6357	72131
243	6385	72120
244	6415	72142
245	6442	72127
246	6468	72099
247	6495	72079
248	6523	72068
249	6549	72043
250	6576	72029
251	6602	71996
252	6629	71976
253	6653	71932
254	6678	71888
255	6705	71875
256	6730	71830
257	6757	71817
258	6785	71813
259	6810	71771
260	6839	71772
261	6864	71738
262	6890	71704
263	6915	71667
264	6943	71658
265	6972	71664
266	7000	71656
267	7025	71614
268	7055	71625
269	7082	71611
270	7108	71587
271	7135	71562
272	7162	71544
273	7186	71501
274	7212	71472
275	7236	71424
276	7264	71413
277	7287	71349
278	7313	71327
279	7337	71275
280	7363	71247
281	7388	71212
282	7414	71180
283	7437	71128
284	7463	71098
285	7489	71073
286	7513	71020
287	7541	71018
288	7569	71002
289	7591	70941
290	7619	70934
291	7647	70925
292	7677	70933
293	7708	70948
294	7741	70987
295	7772	71001
296	7803	71015
297	7831	71007
298	7861	71017
299	7889	71005
300	7918	71003
301	7949	71017
302	7982	71050
303	8009	71034
304	8037	71021
305	8067	71023
306	8095	71012
307	8121	70985
308	8149	70968
309	8173	70928
310	8198	70885
311	8225	70862
312	8245	70783
313	8270	70748
314	8294	70696
315	8320	70668
316	8348	70661
317	8374	70632
318	8401	70610
319	8427	70577
320	8455	70565
321	8483	70553
322	8510	70538
323	8539	70529
324	8566	70510
325	8591	70474
326	8616	70434
327	8643	70414
328	8674	70421
329	8703	70421
330	8732	70410
331	8758	70387
332	8783	70349
333	8805	70288
334	8831	70253
335	8856	70221
336	8881	70179
337	8908	70159
338	8934	70131
339	8959	70097
340	8984	70055
341	9008	70013
342	9036	69996
343	9065	69991
344	9096	70004
345	9129	70029
346	9158	70021
347	9185	70002
348	9211	69969
349	9235	69923
350	9263	69911
351	9288	69873
352	9311	69823
353	9338	69801
354	9369	69806
355	9393	69762
356	9416	69711
357	9440	69670
358	9467	69648
359	9493	69617
360	9522	69614
361	9546	69570
362	9568	69507
363	9595	69486
364	9622	69468
365	9653	69473
366	9684	69480
367	9712	69467
368	9740	69453
369	9765	69417
370	9797	69426
371	9828	69433
372	9857	69422
373	9883	69399
374	9910	69376
375	9937	69350
376	9962	69314
377	9994	69324
378	10025	69329
379	10053	69314
380	10083	69315
381	10111	69296
382	10142	69304
383	10173	69305
384	10203	69307
385	10229	69275
386	10259	69268
387	10288	69262
388	10318	69259
389	10346	69239
390	10376	69240
391	10406	69235
392	10433	69213
393	10461	69192
394	10485	69153
395	10512	69128
396	10536	69081
397	10561	69046
398	10584	68998
399	10617	69013
400	10650	69028
401	10677	69006
402	10706	68995
403	10737	68995
404	10765	68978
405	10794	68970
406	10821	68944
407	10851	68937
408	10882	68938
409	10916	68958
410	10947	68958
411	10976	68947
412	11006	68943
413	11036	68938
414	11065	68926
415	11097	68931
416	11124	68910
417	11151	68885
418	11187	68913
419	11217	68904
420	11245	68888
421	11278	68902
422	11307	68885
423	11339	68892
424	11365	68859
425	11393	68841
426	11420	68815
427	11446	68787
428	11472	68756
429	11496	68709
430	11523	68688
431	11545	68629
432	11572	68605
433	11596	68561
434	11626	68554
435	11657	68554
436	11685	68537
437	11716	68534
438	11743	68507
439	11774	68508
440	11805	68503
441	11832	68480
442	11855	68429
443	11883	68408
444	11910	68385
445	11937	68360
446	11964	68333
447	11993	68318
448	12016	68273
449	12043	68246
450	12066	68200
451	12092	68164
452	12116	68124
453	12145	68110
454	12175	68104
455	12209	68114
456	12240	68113
457	12266	68080
458	12295	68068
459	12326	68062
460	12351	68027
461	12378	68003
462	12404	67972
463	12430	67941
464	12460	67931
465	12485	67893
466	12508	67847
467	12538	67835
468	12570	67836
469	12598	67819
470	12629	67812
471	12659	67803
472	12687	67782
473	12715	67763
474	12742	67737
475	12772	67727
476	12801	67710
477	12828	67687
478	12855	67657
479	12882	67631
480	12910	67612
481	12940	67602
482	12969	67585
483	12998	67572
484	13027	67552
485	13058	67551
486	13088	67539
487	13117	67521
488	13145	67502
489	13176	67497
490	13208	67494
491	13234	67462
492	13265	67459
493	13295	67444
494	13324	67432
495	13352	67408
496	13379	67382
497	13407	67361
498	13433	67329
499	13458	67291
500	13482	67251
501	13504	67199
502	13529	67163
503	13554	67125
504	13583	67109
505	13610	67084
506	13637	67056
507	13664	67028
508	13691	67007
509	13717	66974
510	13742	66936
511	13770	66915
512	13799	66897
513	13830	66891
514	13858	66871
515	13886	66850
516	13911	66810
517	13935	66773
518	13963	66748
519	13971	66635
520	13998	66607
521	14022	66567
522	14047	66529
523	14073	66499
524	14098	66465
525	14122	66422
526	14142	66367
527	14167	66329
528	14195	66307
529	14218	66265
530	14231	66170
531	14256	66137
532	14280	66095
533	14309	66080
534	14335	66049
535	14358	66007
536	14385	65979
537	14412	65954
538	14438	65922
539	14464	65894
540	14488	65856
541	14516	65831
542	14540	65793
543	14569	65775
544	14592	65734
545	14618	65702
546	14643	65669
547	14669	65635
548	14698	65622
549	14727	65603
550	14751	65566
551	14778	65541
552	14801	65497
553	14827	65467
554	14857	65452
555	14882	65419
556	14910	65398
557	14941	65388
558	14967	65359
559	14991	65320
560	15018	65292
561	15039	65244
562	15066	65218
563	15089	65171
564	15114	65137
565	15137	65096
566	15165	65074
567	15186	65025
568	15215	65008
569	15239	64967
570	15267	64947
571	15295	64927
572	15319	64885
573	15344	64853
574	15370	64823
575	15397	64796
576	15421	64761
577	15449	64736
578	15479	64724
579	15509	64713
580	15536	64686
581	15562	64655
582	15586	64617
583	15613	64590
584	15636	64552
585	15657	64501
586	15682	64466
587	15703	64414
588	15728	64383
589	15754	64351
590	15779	64320
591	15807	64296
592	15834	64274
593	15855	64222
594	15882	64195
595	15910	64174
596	15937	64151
597	15963	64121
598	15985	64077
599	16009	64037
600	16033	64001
601	16056	63957
602	16081	63926
603	16101	63871
604	16126	63838
605	16152	63812
606	16177	63775
607	16201	63740
608	16227	63709
609	16251	63674
610	16280	63654
611	16308	63634
612	16334	63605
613	16369	63613
614	16399	63598
615	16432	63594
616	16463	63584
617	16493	63572
618	16523	63556
619	16550	63531
620	16575	63500
621	16601	63469
622	16624	63429
623	16647	63387
624	16672	63354
625	16694	63309
626	16717	63270
627	16741	63233
628	16770	63214
629	16795	63181
630	16820	63149
631	16843	63110
632	16868	63077
633	16890	63034
634	16916	63002
635	16939	62963
636	16961	62918
637	16987	62890
638	17013	62861
639	17035	62817
640	17057	62775
641	17082	62743
642	17107	62711
643	17132	62676
644	17158	62648
