contractSymbol,lastTradeDate,strike,lastPrice,volume,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,optionType
AMZN260225C00150000,2026-02-25 15:53:48+00:00,150.0,60.64,9.0,210.333,35.33,3.1,c
AMZN260225C00155000,2026-02-25 15:53:48+00:00,155.0,55.7,9.0,210.333,35.33,2.45,c
AMZN260225C00165000,2026-02-25 16:00:23+00:00,165.0,45.47,14.0,210.27,35.33,1.3,c
AMZN260225C00170000,2026-02-13 18:34:25+00:00,170.0,30.38,,204.663,36.66,2.8,c
AMZN260225C00175000,2026-02-23 16:50:38+00:00,175.0,29.24,4.0,204.53,37.71,1.7,c
AMZN260225C00180000,2026-02-24 17:32:18+00:00,180.0,29.48,2.0,209.456,35.53,2.25,c
AMZN260225C00182500,2026-02-24 17:32:18+00:00,182.5,27.05,2.0,209.456,35.53,1.75,c
AMZN260225C00185000,2026-02-23 17:48:52+00:00,185.0,18.78,4.0,203.8,37.98,1.75,c
AMZN260225C00187500,2026-02-23 17:48:52+00:00,187.5,16.29,4.0,203.8,37.98,2.25,c
AMZN260225C00190000,2026-02-25 14:30:03+00:00,190.0,21.25,3.0,211.12,35.51,1.85,c
AMZN260225C00192500,2026-02-25 16:05:33+00:00,192.5,17.81,1400.0,210.38,35.27,1.4,c
AMZN260225C00195000,2026-02-25 16:47:52+00:00,195.0,14.9,853.0,209.74,35.03,0.5,c
AMZN260225C00197500,2026-02-24 20:02:42+00:00,197.5,12.0,48.0,209.405,36.43,1.8,c
AMZN260225C00200000,2026-02-25 16:21:05+00:00,200.0,9.9,41.0,209.88,35.22,0.3,c
AMZN260225C00202500,2026-02-25 16:46:18+00:00,202.5,7.3,236.0,209.81,35.01,0.35,c
AMZN260225C00205000,2026-02-25 16:50:54+00:00,205.0,4.8,2219.0,209.905,35.01,0.2,c
AMZN260225C00207500,2026-02-25 16:50:08+00:00,207.5,2.4,2253.0,209.79,35.03,0.08,c
AMZN260225C00210000,2026-02-25 16:51:02+00:00,210.0,0.6,21893.0,209.905,35.01,0.01,c
AMZN260225C00212500,2026-02-25 16:51:15+00:00,212.5,0.05,72919.0,209.905,35.01,0.01,c
AMZN260225C00215000,2026-02-25 16:49:48+00:00,215.0,0.02,15623.0,209.79,35.03,0.01,c
AMZN260225C00217500,2026-02-25 16:50:11+00:00,217.5,0.01,2570.0,209.79,35.03,0.01,c
AMZN260225C00220000,2026-02-25 16:50:10+00:00,220.0,0.01,1486.0,209.79,35.03,0.01,c
AMZN260225C00222500,2026-02-25 16:41:38+00:00,222.5,0.01,233.0,209.92,35.02,0.01,c
AMZN260225C00225000,2026-02-25 15:01:43+00:00,225.0,0.01,250.0,211.33,35.05,0.01,c
AMZN260225C00227500,2026-02-25 15:54:12+00:00,227.5,0.01,4.0,210.333,35.33,0.01,c
AMZN260225C00230000,2026-02-25 16:02:22+00:00,230.0,0.01,42.0,210.14,35.33,0.01,c
AMZN260225C00232500,2026-02-23 19:03:02+00:00,232.5,0.01,2.0,204.01,37.56,0.01,c
AMZN260225C00235000,2026-02-24 14:35:36+00:00,235.0,0.03,1.0,203.87,37.94,0.01,c
AMZN260225C00237500,2026-02-23 17:54:38+00:00,237.5,0.01,1.0,204.17,37.75,0.01,c
AMZN260225C00240000,2026-02-23 15:38:25+00:00,240.0,0.02,12.0,204.57,37.64,0.02,c
AMZN260225C00245000,2026-02-20 15:03:04+00:00,245.0,0.02,1.0,208.115,34.71,0.02,c
AMZN260225C00250000,2026-02-23 14:30:06+00:00,250.0,0.06,1.0,207.935,37.05,0.02,c
AMZN260225C00255000,2026-02-25 14:30:01+00:00,255.0,0.01,1.0,211.12,35.51,0.02,c
AMZN260225C00260000,2026-02-24 20:59:50+00:00,260.0,0.12,301.0,208.555,36.32,0.01,c
AMZN260225C00270000,2026-02-24 19:50:20+00:00,270.0,0.1,2.0,208.96,36.49,0.01,c
AMZN260225P00150000,2026-02-25 16:03:24+00:00,150.0,0.01,1.0,210.26,35.33,0.01,p
AMZN260225P00160000,2026-02-24 20:16:56+00:00,160.0,0.06,15.0,208.691,36.62,0.02,p
AMZN260225P00165000,2026-02-24 15:54:07+00:00,165.0,0.01,10.0,207.49,35.75,0.01,p
AMZN260225P00170000,2026-02-24 15:27:06+00:00,170.0,0.01,1.0,207.54,36.07,0.01,p
AMZN260225P00175000,2026-02-24 20:46:41+00:00,175.0,0.01,44.0,208.5,36.52,0.01,p
AMZN260225P00177500,2026-02-24 18:14:46+00:00,177.5,0.01,4.0,209.05,35.67,0.01,p
AMZN260225P00180000,2026-02-25 15:24:04+00:00,180.0,0.01,2.0,210.175,35.18,0.01,p
