contractSymbol,lastTradeDate,strike,lastPrice,volume,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,optionType
GOOG260227C00165000,2026-02-25 16:05:52+00:00,165.0,145.77,2.0,310.43,34.07,4.2,c
GOOG260227C00170000,2026-02-24 20:43:06+00:00,170.0,142.64,1.0,311.1,35.32,4.05,c
GOOG260227C00175000,2026-02-24 18:41:35+00:00,175.0,136.27,25.0,310.51,34.76,4.0,c
GOOG260227C00180000,2026-02-24 20:47:36+00:00,180.0,131.24,12.0,311.06,35.19,4.0,c
GOOG260227C00190000,2026-02-24 20:47:14+00:00,190.0,121.25,9.0,311.185,35.21,3.95,c
GOOG260227C00195000,2026-02-24 20:47:52+00:00,195.0,116.28,10.0,311.06,35.19,4.2,c
GOOG260227C00200000,2026-02-24 20:47:31+00:00,200.0,111.28,9.0,311.06,35.19,3.95,c
GOOG260227C00205000,2026-02-24 20:47:58+00:00,205.0,106.31,11.0,311.06,35.19,4.2,c
GOOG260227C00210000,2026-02-25 16:22:29+00:00,210.0,100.45,2.0,310.43,34.06,4.0,c
GOOG260227C00215000,2026-02-24 20:42:39+00:00,215.0,96.17,3.0,311.1,35.32,4.0,c
GOOG260227C00220000,2026-02-24 20:42:29+00:00,220.0,91.2,3.0,310.815,35.39,4.0,c
GOOG260227C00225000,2026-02-13 20:49:20+00:00,225.0,81.05,1.0,301.3,36.57,4.0,c
GOOG260227C00230000,2026-02-18 16:08:20+00:00,230.0,74.79,,301.3,36.57,4.0,c
GOOG260227C00235000,2026-02-25 14:49:55+00:00,235.0,78.22,1.0,313.0,33.93,4.0,c
GOOG260227C00240000,2026-02-24 16:06:54+00:00,240.0,70.92,1.0,310.71,35.04,3.7,c
GOOG260227C00245000,2026-02-24 20:51:13+00:00,245.0,66.57,6.0,311.43,35.1,4.1,c
GOOG260227C00250000,2026-02-24 17:03:47+00:00,250.0,61.51,6.0,311.18,34.71,3.85,c
GOOG260227C00255000,2026-02-24 19:10:29+00:00,255.0,55.93,6.0,310.51,34.96,4.1,c
