contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
META260220C00005000,2026-02-13 19:37:55+00:00,5.0,641.92,16.0,1,1848.4379,646.605,2370.848,0.0364
META260220C00010000,2026-02-06 20:11:31+00:00,10.0,648.27,93.0,1,1320.3127,,,0.0364
META260220C00015000,2026-02-03 17:32:30+00:00,15.0,682.32,1.0,1,1243.7502,,,0.0364
META260220C00020000,2026-02-13 16:08:22+00:00,20.0,628.85,2.0,1,1135.9377,648.99,,0.0364
META260220C00025000,2026-02-06 18:23:41+00:00,25.0,636.35,1.0,1,1055.4691,,4683.5264,0.0364
META260220C00035000,2025-12-23 20:44:27+00:00,35.0,631.36,,1,0.0,,3986.8242,0.0364
META260220C00040000,2026-02-13 15:59:25+00:00,40.0,607.17,2.0,1,876.563,647.18,,0.0364
META260220C00050000,2026-02-09 15:44:32+00:00,50.0,613.47,16.0,1,814.8442,,2847.57,0.0364
META260220C00250000,2026-02-13 15:19:25+00:00,250.0,394.65,150.0,1,333.008,644.2386,423.383,0.0364
META260220C00260000,2026-02-13 15:53:49+00:00,260.0,386.06,1.0,1,328.9064,646.58,,0.0364
META260220C00270000,2026-01-29 14:30:03+00:00,270.0,465.86,1.0,1,305.0784,,1670.5166,0.0364
META260220C00280000,2026-02-06 14:54:23+00:00,280.0,380.19,1.0,1,288.0862,,822.4203,0.0364
META260220C00290000,2026-02-06 14:43:21+00:00,290.0,368.95,1.0,1,279.1019,,777.3227,0.0364
META260220C00300000,2026-02-13 20:50:34+00:00,300.0,340.0,7.0,1,276.3675,638.88,398.5832,0.0364
META260220C00310000,2026-02-09 19:06:32+00:00,310.0,370.98,1.0,1,270.5081,,955.8954,0.0364
META260220C00320000,2026-02-04 19:15:06+00:00,320.0,351.82,1.0,1,252.7347,,834.693,0.0364
META260220C00330000,2026-02-06 16:40:37+00:00,330.0,328.61,1.0,1,245.8988,,667.7499,0.0364
META260220C00340000,2026-02-05 14:30:06+00:00,340.0,319.38,1.0,1,249.5121,,652.0369,0.0364
META260220C00350000,2026-01-23 14:49:16+00:00,350.0,303.8,1.0,1,225.8793,,565.1981,0.0364
META260220C00360000,2026-01-29 18:25:46+00:00,360.0,375.75,1.0,1,213.1841,,1233.8103,0.0364
META260220C00370000,2026-02-13 15:32:24+00:00,370.0,279.63,1.0,1,203.9067,649.57,,0.0364
META260220C00380000,2026-02-09 17:02:08+00:00,380.0,300.32,1.0,1,200.3911,,742.9912,0.0364
META260220C00390000,2026-02-06 16:25:57+00:00,390.0,269.36,4.0,1,186.1329,,539.2966,0.0364
META260220C00400000,2026-02-12 20:04:09+00:00,400.0,253.25,46.0,1,187.1094,652.91,218.7459,0.0364
META260220C00405000,2026-01-21 19:27:40+00:00,405.0,207.4,4.0,1,171.8751,,,0.0364
META260220C00410000,2026-02-12 17:48:15+00:00,410.0,247.07,15.0,1,181.2501,656.445,233.8021,0.0364
META260220C00415000,2026-01-30 20:50:01+00:00,415.0,304.71,2.0,1,163.6721,,926.3403,0.0364
META260220C00420000,2026-02-05 15:16:34+00:00,420.0,245.19,13.0,1,169.7267,,527.1,0.0364
META260220C00425000,2026-02-12 14:41:09+00:00,425.0,242.9,1.0,1,159.1799,666.9893,239.083,0.0364
META260220C00430000,2026-01-29 15:36:58+00:00,430.0,289.1,1.0,1,156.2502,,876.8752,0.0364
META260220C00435000,2026-02-02 19:56:21+00:00,435.0,276.82,3.0,1,150.0002,,815.447,0.0364
META260220C00440000,2026-02-09 16:45:59+00:00,440.0,236.53,2.0,1,149.219,,568.5823,0.0364
META260220C00445000,2025-12-10 20:35:36+00:00,445.0,208.91,,1,644.8244,,383.232,0.0364
META260220C00450000,2026-02-12 20:04:09+00:00,450.0,203.37,2.0,1,144.9222,652.91,178.9882,0.0364
META260220C00455000,2026-01-09 19:24:25+00:00,455.0,199.98,1.0,1,271.7777,,375.2543,0.0364
META260220C00460000,2026-02-10 20:20:15+00:00,460.0,213.08,1.0,1,130.5668,,501.2863,0.0364
META260220C00465000,2026-02-12 16:34:25+00:00,465.0,182.81,1.0,1,150.0002,647.41,156.8118,0.0364
META260220C00470000,2026-02-13 15:16:54+00:00,470.0,173.48,1.0,1,118.8481,643.375,,0.0364
META260220C00480000,2026-02-04 18:29:14+00:00,480.0,192.75,1.0,1,115.6254,,457.7252,0.0364
META260220C00485000,2026-01-22 14:40:42+00:00,485.0,152.12,1.0,1,132.1292,,,0.0364
META260220C00490000,2026-02-12 16:34:25+00:00,490.0,157.87,1.0,1,111.6215,647.41,137.8241,0.0364
META260220C00495000,2026-02-06 16:39:12+00:00,495.0,164.76,2.0,1,124.7562,,342.2988,0.0364
META260220C00500000,2026-02-12 20:36:20+00:00,500.0,151.83,71.0,1,101.1724,651.455,125.9983,0.0364
META260220C00505000,2026-02-02 20:12:43+00:00,505.0,207.55,4.0,1,99.9023,,634.8792,0.0364
META260220C00510000,2026-02-12 20:40:32+00:00,510.0,142.76,9.0,1,94.043,652.685,,0.0364
META260220C00515000,2026-02-12 20:50:00+00:00,515.0,134.55,2.0,1,101.8804,648.5337,136.4776,0.0364
META260220C00520000,2026-02-12 20:20:57+00:00,520.0,131.75,2.0,1,87.0607,651.0,125.4393,0.0364
META260220C00525000,2026-02-13 15:26:34+00:00,525.0,121.9,2.0,1,94.7022,648.99,,0.0364
META260220C00530000,2026-02-13 15:26:34+00:00,530.0,116.93,2.0,1,85.5714,648.99,,0.0364
META260220C00535000,2026-02-04 20:54:40+00:00,535.0,135.41,2.0,1,96.2891,,336.1575,0.0364
META260220C00540000,2026-02-11 14:39:35+00:00,540.0,134.65,1.0,1,71.1917,672.36,154.7261,0.0364
META260220C00545000,2026-02-06 16:42:56+00:00,545.0,114.7,3.0,1,82.9592,,255.9987,0.0364
META260220C00550000,2026-02-13 20:50:59+00:00,550.0,90.0,7.0,1,67.6273,638.88,97.3727,0.0364
META260220C00555000,2026-02-11 18:01:42+00:00,555.0,103.75,1.0,1,68.5062,659.7475,,0.0364
META260220C00560000,2026-02-12 20:18:38+00:00,560.0,92.99,2.0,1,62.6957,651.205,108.7958,0.0364
META260220C00565000,2026-02-06 19:13:42+00:00,565.0,96.8,94.0,1,60.9135,,233.8209,0.0364
META260220C00570000,2026-02-12 15:40:13+00:00,570.0,88.22,66.0,1,59.8881,656.1,107.2481,0.0364
META260220C00575000,2026-02-11 20:41:43+00:00,575.0,95.91,2.0,1,57.7885,670.105,91.1038,0.0364
META260220C00580000,2026-02-13 18:50:35+00:00,580.0,69.53,49.0,1,55.4448,648.31,77.8065,0.0364
META260220C00585000,2026-02-06 15:07:10+00:00,585.0,68.36,1.0,1,54.81,,154.0722,0.0364
META260220C00590000,2026-02-13 17:11:10+00:00,590.0,59.52,26.0,1,54.1264,649.39,,0.0364
META260220C00595000,2026-02-13 19:28:19+00:00,595.0,52.88,3.0,1,51.7461,646.47,64.1454,0.0364
META260220C00600000,2026-02-13 20:46:06+00:00,600.0,42.63,131.0,1,51.0991,641.065,55.813,0.0364
META260220C00602500,2026-01-30 19:44:19+00:00,602.5,38.6,1.0,1,52.8264,,49.4572,0.0364
META260220C00605000,2026-02-13 20:17:35+00:00,605.0,39.9,5.0,1,50.6841,642.15,61.9809,0.0364
META260220C00607500,2026-02-13 17:09:29+00:00,607.5,43.85,17.0,1,48.7676,649.215,61.278,0.0364
META260220C00610000,2026-02-13 20:27:16+00:00,610.0,34.5,16.0,1,50.4522,640.87,60.7617,0.0364
META260220C00612500,2026-02-13 14:33:44+00:00,612.5,30.85,19.0,1,46.9122,638.09,63.9332,0.0364
META260220C00615000,2026-02-13 16:44:34+00:00,615.0,38.15,7.0,1,44.2938,651.215,53.3137,0.0364
META260220C00617500,2026-02-13 14:38:37+00:00,617.5,27.4,15.0,1,48.6883,638.21,64.5028,0.0364
META260220C00620000,2026-02-13 20:59:31+00:00,620.0,25.08,203.0,1,43.3599,639.76,55.7283,0.0364
META260220C00622500,2026-02-13 14:37:37+00:00,622.5,23.7,11.0,1,43.2623,639.0,60.4221,0.0364
META260220C00625000,2026-02-13 20:54:40+00:00,625.0,21.25,34.0,1,41.9623,639.7,54.2866,0.0364
META260220C00627500,2026-02-13 20:51:54+00:00,627.5,19.26,27.0,1,41.9561,638.86,55.2837,0.0364
META260220C00630000,2026-02-13 20:59:56+00:00,630.0,17.6,107.0,1,40.9735,639.76,52.1598,0.0364
META260220C00632500,2026-02-13 20:59:31+00:00,632.5,16.1,53.0,1,40.8087,639.76,52.2116,0.0364
META260220C00635000,2026-02-13 20:53:30+00:00,635.0,14.5,117.0,1,39.8627,639.75,51.4895,0.0364
META260220C00637500,2026-02-13 20:58:32+00:00,637.5,13.05,262.0,1,39.6735,639.76,51.0302,0.0364
META260220C00640000,2026-02-13 20:59:31+00:00,640.0,11.45,1350.0,0,39.2096,639.76,49.591,0.0364
META260220C00642500,2026-02-13 20:59:44+00:00,642.5,10.3,415.0,0,38.9655,639.76,49.7311,0.0364
META260220C00645000,2026-02-13 20:58:33+00:00,645.0,9.16,919.0,0,38.2636,639.76,49.5429,0.0364
META260220C00647500,2026-02-13 20:58:17+00:00,647.5,8.0,671.0,0,38.2819,640.26,47.9821,0.0364
META260220C00650000,2026-02-13 20:59:35+00:00,650.0,7.0,3978.0,0,37.6593,639.76,48.5491,0.0364
META260220C00652500,2026-02-13 20:42:59+00:00,652.5,6.08,467.0,0,37.4274,640.1,47.6457,0.0364
META260220C00655000,2026-02-13 20:59:58+00:00,655.0,5.3,2239.0,0,37.2687,639.76,48.1001,0.0364
META260220C00657500,2026-02-13 20:59:57+00:00,657.5,4.47,388.0,0,36.994,639.76,47.3577,0.0364
META260220C00660000,2026-02-13 20:59:30+00:00,660.0,3.83,1725.0,0,36.817,639.76,47.1823,0.0364
META260220C00662500,2026-02-13 20:54:28+00:00,662.5,3.3,377.0,0,36.5363,639.75,47.2499,0.0364
META260220C00665000,2026-02-13 20:58:46+00:00,665.0,2.81,1338.0,0,36.4997,639.76,47.1591,0.0364
META260220C00667500,2026-02-13 20:58:54+00:00,667.5,2.36,267.0,0,36.3043,639.76,46.9474,0.0364
META260220C00670000,2026-02-13 20:59:27+00:00,670.0,1.91,3946.0,0,36.1823,639.76,46.2932,0.0364
META260220C00672500,2026-02-13 20:59:47+00:00,672.5,1.6,820.0,0,36.1823,639.76,46.279,0.0364
META260220C00675000,2026-02-13 20:59:47+00:00,675.0,1.32,1277.0,0,36.2433,639.76,46.14,0.0364
META260220C00677500,2026-02-13 20:58:59+00:00,677.5,1.14,317.0,0,36.2433,639.76,46.6193,0.0364
META260220C00680000,2026-02-13 20:59:44+00:00,680.0,0.93,1788.0,0,36.3043,639.76,46.4646,0.0364
META260220C00682500,2026-02-13 20:58:29+00:00,682.5,0.79,403.0,0,36.4752,640.26,46.3565,0.0364
META260220C00685000,2026-02-13 20:55:57+00:00,685.0,0.65,1123.0,0,36.5241,639.82,46.7859,0.0364
META260220C00687500,2026-02-13 20:52:12+00:00,687.5,0.53,240.0,0,36.7926,638.86,47.577,0.0364
META260220C00690000,2026-02-13 20:59:24+00:00,690.0,0.47,1072.0,0,37.1344,639.76,47.6101,0.0364
META260220C00692500,2026-02-13 20:54:37+00:00,692.5,0.36,321.0,0,37.4518,639.7,47.1693,0.0364
META260220C00695000,2026-02-13 20:58:42+00:00,695.0,0.33,1365.0,0,37.7936,639.76,48.155,0.0364
META260220C00697500,2026-02-13 20:44:04+00:00,697.5,0.29,38.0,0,38.1354,640.88,47.9818,0.0364
META260220C00700000,2026-02-13 20:59:52+00:00,700.0,0.23,9466.0,0,38.2819,639.76,48.6849,0.0364
META260220C00702500,2026-02-13 20:54:24+00:00,702.5,0.23,447.0,0,39.0631,639.75,50.3122,0.0364
META260220C00705000,2026-02-13 20:38:19+00:00,705.0,0.2,725.0,0,39.7467,639.88,50.7557,0.0364
META260220C00707500,2026-02-13 20:36:10+00:00,707.5,0.18,52.0,0,40.3815,640.21,51.3056,0.0364
META260220C00710000,2026-02-13 20:48:27+00:00,710.0,0.15,687.0,0,40.6256,641.23,50.8269,0.0364
META260220C00712500,2026-02-13 17:34:37+00:00,712.5,0.25,12.0,0,41.4068,650.0,50.0316,0.0364
META260220C00715000,2026-02-13 20:50:53+00:00,715.0,0.12,275.0,0,42.1881,638.88,53.7972,0.0364
META260220C00717500,2026-02-13 18:53:22+00:00,717.5,0.16,5.0,0,42.8717,648.89,50.6088,0.0364
META260220C00720000,2026-02-13 20:59:06+00:00,720.0,0.1,482.0,0,43.067,639.76,54.8241,0.0364
META260220C00722500,2026-02-13 20:44:35+00:00,722.5,0.13,6.0,0,52.1489,640.65,57.5268,0.0364
META260220C00725000,2026-02-13 20:37:16+00:00,725.0,0.13,205.0,0,46.1919,640.245,59.22,0.0364
META260220C00727500,2026-02-13 20:26:41+00:00,727.5,0.11,5.0,0,51.3677,640.87,58.9741,0.0364
META260220C00730000,2026-02-13 20:52:33+00:00,730.0,0.09,895.0,0,46.8755,639.98,59.4696,0.0364
META260220C00732500,2026-02-13 19:04:01+00:00,732.5,0.13,30.0,0,52.3442,648.19,58.2848,0.0364
META260220C00735000,2026-02-13 20:44:23+00:00,735.0,0.09,371.0,0,50.5864,640.88,61.5988,0.0364
META260220C00737500,2026-02-13 15:06:12+00:00,737.5,0.14,2.0,0,58.4965,643.08,64.9901,0.0364
META260220C00740000,2026-02-13 20:45:23+00:00,740.0,0.08,792.0,0,51.563,640.65,63.5333,0.0364
META260220C00745000,2026-02-13 20:16:04+00:00,745.0,0.07,421.0,0,52.4419,642.4813,64.0429,0.0364
META260220C00750000,2026-02-13 20:53:25+00:00,750.0,0.07,1839.0,0,53.3208,639.98,68.0992,0.0364
META260220C00755000,2026-02-13 20:56:08+00:00,755.0,0.07,87.0,0,52.3442,639.82,70.7086,0.0364
META260220C00760000,2026-02-13 20:46:20+00:00,760.0,0.08,1412.0,0,57.6176,641.065,73.5186,0.0364
META260220C00765000,2026-02-13 18:35:52+00:00,765.0,0.08,51.0,0,67.8714,650.0,70.6302,0.0364
META260220C00770000,2026-02-13 20:44:26+00:00,770.0,0.05,657.0,0,61.9144,640.88,74.7851,0.0364
META260220C00775000,2026-02-13 19:55:23+00:00,775.0,0.07,3.0,0,66.3089,644.94,77.4635,0.0364
META260220C00780000,2026-02-13 19:59:45+00:00,780.0,0.03,341.0,0,63.2816,644.16,73.8213,0.0364
META260220C00785000,2026-02-13 17:37:11+00:00,785.0,0.05,36.0,0,67.5784,649.46,76.8536,0.0364
META260220C00790000,2026-02-13 20:44:38+00:00,790.0,0.03,233.0,0,63.2816,640.65,80.1496,0.0364
META260220C00795000,2026-02-12 17:31:15+00:00,795.0,0.08,6.0,0,66.016,654.295,82.6298,0.0364
META260220C00800000,2026-02-13 20:53:03+00:00,800.0,0.04,1541.0,0,67.5784,639.98,87.134,0.0364
