contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SPY270115P00050000,2026-02-13 20:42:54+00:00,50.0,0.02,15.0,0,85.9376,679.955,84.5591,0.0364,21.5
SPY270115P00055000,2026-02-13 19:53:02+00:00,55.0,0.03,1.0,0,84.7658,683.14,84.1484,0.0364,20.0
SPY270115P00060000,2026-02-13 14:59:40+00:00,60.0,0.06,3.0,0,83.2033,680.9562,85.9397,0.0364,21.8
SPY270115P00065000,2026-02-12 18:16:05+00:00,65.0,0.05,5.0,0,81.6408,683.03,81.8507,0.0364,20.54
SPY270115P00070000,2026-02-12 20:14:25+00:00,70.0,0.07,1.0,0,79.4924,684.85,81.6761,0.0364,19.74
SPY270115P00075000,2026-02-05 15:10:01+00:00,75.0,0.07,1.0,0,78.1252,,79.0523,0.0364,
SPY270115P00080000,2026-02-06 20:50:28+00:00,80.0,0.08,5.0,0,77.051,,77.6558,0.0364,
SPY270115P00085000,2026-01-29 17:49:02+00:00,85.0,0.1,32.0,0,75.1956,,77.0215,0.0364,
SPY270115P00090000,2026-02-10 18:28:40+00:00,90.0,0.09,10.0,0,73.8284,693.44,74.686,0.0364,17.72
SPY270115P00095000,2026-02-03 21:12:26+00:00,95.0,0.12,15.0,0,72.7542,,74.1896,0.0364,
SPY270115P00100000,2026-02-09 19:10:04+00:00,100.0,0.11,2.0,0,71.68,694.925,72.2546,0.0364,17.04
SPY270115P00105000,2026-02-12 14:34:48+00:00,105.0,0.13,5.0,0,70.3128,694.7745,71.5814,0.0364,17.2
SPY270115P00110000,2026-02-12 14:34:48+00:00,110.0,0.14,5.0,0,69.4339,694.7745,70.3471,0.0364,17.2
SPY270115P00115000,2026-02-12 16:32:57+00:00,115.0,0.19,14.0,0,68.555,684.56,70.3439,0.0364,19.98
SPY270115P00120000,2026-02-12 17:04:45+00:00,120.0,0.21,1.0,0,67.432,683.71,69.3745,0.0364,20.18
SPY270115P00125000,2026-02-12 14:34:47+00:00,125.0,0.19,5.0,0,66.5042,694.7745,67.5911,0.0364,17.2
SPY270115P00130000,2026-02-12 15:45:49+00:00,130.0,0.22,10.0,0,65.6253,690.73,66.9085,0.0364,18.17
SPY270115P00135000,2026-02-12 16:28:12+00:00,135.0,0.26,20.0,0,64.7953,684.34,66.3106,0.0364,20.34
SPY270115P00140000,2026-02-05 17:38:24+00:00,140.0,0.26,7.0,0,64.014,,64.7467,0.0364,
SPY270115P00145000,2026-02-05 15:34:26+00:00,145.0,0.32,15.0,0,63.2816,,64.8254,0.0364,
SPY270115P00150000,2026-02-13 17:08:51+00:00,150.0,0.33,5.0,0,62.3539,685.2,63.8449,0.0364,19.35
SPY270115P00155000,2026-01-29 18:20:47+00:00,155.0,0.32,1.0,0,61.6215,,62.1361,0.0364,
SPY270115P00160000,2025-11-24 17:55:02+00:00,160.0,0.6,1.0,0,59.6684,,65.573,0.0364,
SPY270115P00165000,2026-01-08 17:32:08+00:00,165.0,0.37,1.0,0,59.2778,,60.6163,0.0364,
SPY270115P00170000,2025-12-04 16:19:58+00:00,170.0,0.58,4.0,0,58.3012,,62.6901,0.0364,
SPY270115P00175000,2026-02-13 15:09:55+00:00,175.0,0.51,3.0,0,58.7651,682.61,60.5234,0.0364,21.13
SPY270115P00180000,2026-02-09 21:05:11+00:00,180.0,0.45,51.0,0,58.1303,693.91,59.0129,0.0364,17.37
SPY270115P00185000,2026-02-09 15:25:50+00:00,185.0,0.49,10.0,0,57.4223,691.98,58.3755,0.0364,17.58
SPY270115P00190000,2026-02-02 15:58:44+00:00,190.0,0.52,1.0,0,56.812,,57.1552,0.0364,
SPY270115P00195000,2026-02-13 20:58:24+00:00,195.0,0.66,1.0,0,56.1528,681.515,57.754,0.0364,20.75
SPY270115P00200000,2026-02-12 21:13:34+00:00,200.0,0.67,8.0,0,55.4936,681.22,56.7539,0.0364,20.74
SPY270115P00205000,2025-12-09 19:57:09+00:00,205.0,0.86,5.0,0,54.0532,,57.5822,0.0364,
SPY270115P00210000,2026-01-26 15:42:56+00:00,210.0,0.66,1.0,0,54.1508,,54.567,0.0364,
SPY270115P00215000,2026-01-21 17:24:47+00:00,215.0,0.8,2.0,0,53.5649,,54.9231,0.0364,
SPY270115P00220000,2026-02-04 17:27:03+00:00,220.0,0.8,1.0,0,52.9668,,53.9101,0.0364,
SPY270115P00225000,2026-02-09 18:09:09+00:00,225.0,0.8,6.0,0,52.3686,694.87,53.6231,0.0364,17.05
SPY270115P00230000,2026-02-11 18:16:33+00:00,230.0,0.87,3.0,0,51.7583,692.24,53.1152,0.0364,17.77
SPY270115P00235000,2026-02-12 21:13:01+00:00,235.0,1.01,16.0,0,51.1479,681.22,52.6408,0.0364,20.74
SPY270115P00240000,2026-02-12 20:23:44+00:00,240.0,1.03,13.0,0,50.6108,683.735,51.9717,0.0364,20.01
SPY270115P00245000,2026-02-13 20:50:27+00:00,245.0,1.16,3.0,0,50.0615,680.745,51.7455,0.0364,21.18
SPY270115P00250000,2026-02-12 16:50:56+00:00,250.0,1.17,1.0,0,49.5611,684.48,51.0909,0.0364,20.04
SPY270115P00255000,2026-02-05 20:20:42+00:00,255.0,1.22,11.0,0,48.9995,,50.3329,0.0364,
SPY270115P00260000,2026-02-10 14:35:01+00:00,260.0,1.17,50.0,0,48.4807,694.9087,49.8726,0.0364,17.4
SPY270115P00265000,2026-01-05 17:41:32+00:00,265.0,1.21,10.0,0,47.1014,,48.4957,0.0364,
SPY270115P00270000,2026-02-04 15:16:31+00:00,270.0,1.3,10.0,0,47.3821,,48.144,0.0364,
SPY270115P00275000,2026-02-12 20:11:12+00:00,275.0,1.48,1.0,0,46.8999,684.48,48.3912,0.0364,19.85
SPY270115P00280000,2026-02-13 21:06:11+00:00,280.0,1.63,7.0,0,46.3628,681.6,48.0885,0.0364,20.62
SPY270115P00285000,2026-02-12 20:50:10+00:00,285.0,1.72,1.0,0,45.8196,680.89,47.6018,0.0364,20.9
SPY270115P00290000,2026-02-09 15:56:24+00:00,290.0,1.52,1.0,0,45.3192,694.23,46.6367,0.0364,17.3
SPY270115P00295000,2026-02-04 15:24:29+00:00,295.0,1.61,10.0,0,44.8126,,45.5041,0.0364,
SPY270115P00300000,2026-02-13 20:27:29+00:00,300.0,1.92,5.0,0,44.2999,680.81,45.9332,0.0364,21.14
SPY270115P00305000,2026-02-13 20:39:39+00:00,305.0,2.04,3.0,0,43.8238,680.69,45.572,0.0364,21.25
SPY270115P00310000,2026-02-09 18:09:09+00:00,310.0,1.8,6.0,0,43.2989,694.87,44.701,0.0364,17.05
SPY270115P00315000,2026-02-12 14:32:43+00:00,315.0,1.91,1.0,0,42.8106,694.84,44.3516,0.0364,17.26
SPY270115P00320000,2026-02-11 19:56:50+00:00,320.0,2.0,1.0,0,42.3224,693.18,43.8153,0.0364,17.38
SPY270115P00325000,2026-02-09 15:58:03+00:00,325.0,2.03,1.0,0,41.8219,694.375,43.232,0.0364,17.29
SPY270115P00330000,2026-02-12 20:52:53+00:00,330.0,2.43,17.0,0,41.3519,681.165,42.9821,0.0364,20.9
SPY270115P00335000,2026-02-11 15:49:57+00:00,335.0,2.35,3.0,0,40.8758,690.6,42.5626,0.0364,18.5
SPY270115P00340000,2026-02-13 16:45:12+00:00,340.0,2.48,1.0,0,40.3692,684.77,41.8453,0.0364,19.59
SPY270115P00345000,2026-02-09 20:49:18+00:00,345.0,2.38,33.0,0,39.9176,694.8,41.4326,0.0364,17.28
SPY270115P00350000,2026-02-13 21:03:24+00:00,350.0,2.88,54.0,0,39.4293,681.6,41.2759,0.0364,20.62
SPY270115P00355000,2026-02-05 20:56:03+00:00,355.0,2.95,1.0,0,38.9655,,40.7276,0.0364,
SPY270115P00360000,2026-02-11 20:19:20+00:00,360.0,2.73,1.0,0,38.4955,692.73,40.1316,0.0364,17.48
SPY270115P00365000,2026-02-03 20:22:02+00:00,365.0,2.92,10.0,0,38.0469,,39.1963,0.0364,
SPY270115P00370000,2026-02-13 20:37:18+00:00,370.0,3.35,20.0,0,37.5922,680.12,39.401,0.0364,21.36
SPY270115P00375000,2026-02-06 15:05:14+00:00,375.0,3.22,1.0,0,37.1344,,38.4945,0.0364,
SPY270115P00380000,2026-02-12 16:20:59+00:00,380.0,3.64,1.0,0,36.6919,684.715,38.9164,0.0364,20.21
SPY270115P00385000,2026-02-06 20:15:30+00:00,385.0,3.32,1.0,0,36.2647,,37.316,0.0364,
SPY270115P00390000,2026-02-06 17:57:48+00:00,390.0,3.46,1.0,0,35.8313,,36.9259,0.0364,
SPY270115P00395000,2026-02-06 15:57:59+00:00,395.0,3.68,4.0,0,35.3949,,36.6913,0.0364,
SPY270115P00400000,2026-02-13 18:10:52+00:00,400.0,3.91,5.0,0,34.9677,685.435,36.7124,0.0364,19.28
SPY270115P00405000,2026-02-13 19:29:58+00:00,405.0,4.09,1.0,0,34.5557,684.76,36.3204,0.0364,19.62
SPY270115P00410000,2026-02-13 18:18:02+00:00,410.0,4.18,4.0,0,34.1376,685.74,35.8719,0.0364,19.06
SPY270115P00415000,2026-02-06 20:06:00+00:00,415.0,4.14,3.0,0,33.7256,,34.8423,0.0364,
SPY270115P00420000,2026-02-11 15:42:21+00:00,420.0,4.36,1.0,0,33.3259,691.33,35.2357,0.0364,18.23
SPY270115P00425000,2026-02-06 18:40:00+00:00,425.0,4.5,4.0,0,32.92,,34.123,0.0364,
SPY270115P00430000,2026-02-09 17:50:14+00:00,430.0,4.46,1.0,0,32.5355,694.83,34.3281,0.0364,17.1
SPY270115P00435000,2026-02-13 20:06:18+00:00,435.0,5.25,2.0,0,32.1433,683.22,34.0712,0.0364,20.14
SPY270115P00440000,2026-02-12 20:51:39+00:00,440.0,5.62,2.0,0,31.7573,680.8,33.7562,0.0364,21.16
SPY270115P00445000,2026-02-11 19:00:02+00:00,445.0,5.14,10.0,0,31.3758,692.74,33.2837,0.0364,17.55
SPY270115P00450000,2026-02-12 18:49:16+00:00,450.0,5.78,17.0,0,31.0127,684.58,32.9287,0.0364,20.0
SPY270115P00455000,2026-02-09 15:34:44+00:00,455.0,5.43,3.0,0,30.6403,693.425,32.4528,0.0364,17.23
SPY270115P00460000,2026-02-13 17:08:49+00:00,460.0,6.15,16.0,0,30.2711,685.2,32.1459,0.0364,19.35
SPY270115P00465000,2026-02-13 17:14:48+00:00,465.0,6.36,1.0,0,29.9049,685.6601,31.7907,0.0364,19.29
SPY270115P00470000,2026-02-13 15:44:52+00:00,470.0,7.0,2.0,0,29.5509,681.975,31.6142,0.0364,20.86
SPY270115P00475000,2026-02-12 19:29:55+00:00,475.0,7.47,5.0,0,29.1969,684.36,31.6779,0.0364,19.92
SPY270115P00480000,2026-02-12 20:53:37+00:00,480.0,7.68,3.0,0,28.8444,681.73,31.0345,0.0364,20.76
SPY270115P00485000,2026-02-13 15:32:10+00:00,485.0,7.84,4.0,0,28.5011,683.96,30.7265,0.0364,20.42
SPY270115P00490000,2026-02-13 15:23:43+00:00,490.0,8.44,1.0,0,28.1669,681.23,30.4614,0.0364,21.28
SPY270115P00495000,2026-02-13 18:34:53+00:00,495.0,8.14,1.0,0,27.8312,685.91,29.8861,0.0364,19.1
SPY270115P00500000,2026-02-13 20:52:21+00:00,500.0,9.06,69.0,0,27.4925,680.38,29.6684,0.0364,21.27
SPY270115P00505000,2026-02-06 14:43:53+00:00,505.0,8.83,2.0,0,27.1598,,28.9077,0.0364,
SPY270115P00510000,2026-02-13 20:38:38+00:00,510.0,9.89,127.0,0,26.8318,680.38,29.0999,0.0364,21.32
SPY270115P00515000,2026-02-12 18:52:14+00:00,515.0,10.33,3.0,0,26.5098,685.18,29.2371,0.0364,19.83
SPY270115P00520000,2026-02-13 14:59:39+00:00,520.0,11.06,10.0,0,26.1894,680.9562,28.8129,0.0364,21.8
SPY270115P00525000,2026-02-13 15:38:53+00:00,525.0,10.93,10.0,0,25.872,682.89,28.21,0.0364,20.5
SPY270115P00530000,2026-02-12 20:53:08+00:00,530.0,11.15,2.0,0,25.5562,681.165,27.5677,0.0364,20.9
SPY270115P00535000,2026-02-13 18:00:32+00:00,535.0,11.48,2.0,0,25.2403,684.6,27.4748,0.0364,19.41
SPY270115P00540000,2026-02-13 20:41:03+00:00,540.0,12.84,4.0,0,24.9321,680.44,27.4503,0.0364,21.27
SPY270115P00545000,2026-02-13 20:39:39+00:00,545.0,13.45,5.0,0,24.6239,680.69,27.2355,0.0364,21.25
SPY270115P00550000,2026-02-13 21:09:28+00:00,550.0,13.88,79.0,0,24.3202,681.6,26.9434,0.0364,20.62
SPY270115P00555000,2026-02-12 20:50:58+00:00,555.0,14.42,2.0,0,24.0135,680.465,26.5201,0.0364,21.2
SPY270115P00560000,2026-02-13 18:50:47+00:00,560.0,15.31,22.0,0,23.7114,684.79,26.8482,0.0364,19.31
SPY270115P00565000,2026-02-13 18:42:58+00:00,565.0,14.89,1.0,0,23.4108,685.12,25.9213,0.0364,19.29
SPY270115P00570000,2026-02-13 18:42:58+00:00,570.0,15.51,2.0,0,23.1072,685.12,25.6378,0.0364,19.29
SPY270115P00575000,2026-02-13 19:05:43+00:00,575.0,16.29,3.0,0,22.8088,684.84,25.4103,0.0364,19.45
SPY270115P00580000,2026-02-13 17:21:07+00:00,580.0,16.9,14.0,0,22.5044,685.78,25.1861,0.0364,19.3
SPY270115P00585000,2026-02-13 18:00:32+00:00,585.0,17.64,3.0,0,22.2054,684.6,24.8074,0.0364,19.41
SPY270115P00590000,2026-02-12 18:47:25+00:00,590.0,18.63,5.0,0,21.9048,684.8,24.6966,0.0364,19.96
SPY270115P00595000,2026-02-13 21:07:44+00:00,595.0,20.35,11.0,0,21.6019,681.6,24.5938,0.0364,20.62
SPY270115P00600000,2026-02-13 20:46:00+00:00,600.0,21.5,156.0,0,21.3005,680.46,24.3582,0.0364,21.31
SPY270115P00605000,2026-02-12 19:38:37+00:00,605.0,21.07,7.0,0,20.9954,685.33,23.9487,0.0364,19.65
SPY270115P00610000,2026-02-13 20:37:31+00:00,610.0,23.38,31.0,0,20.6894,680.5072,23.8593,0.0364,21.32
SPY270115P00615000,2026-02-13 20:26:42+00:00,615.0,24.02,22.0,0,20.3789,680.81,23.4679,0.0364,21.14
SPY270115P00620000,2026-02-13 21:08:55+00:00,620.0,25.16,14.0,0,20.0661,681.6,23.3677,0.0364,20.62
SPY270115P00625000,2026-02-13 19:27:59+00:00,625.0,25.0,19.0,0,19.7548,684.5,22.8833,0.0364,19.66
SPY270115P00630000,2026-02-13 18:59:04+00:00,630.0,27.35,18.0,0,19.4367,684.66,23.2557,0.0364,19.47
SPY270115P00635000,2026-02-13 18:58:58+00:00,635.0,28.47,16.0,0,19.1132,684.66,23.0009,0.0364,19.47
SPY270115P00640000,2026-02-13 20:43:46+00:00,640.0,30.09,50.0,0,18.7935,680.17,22.372,0.0364,21.41
SPY270115P00645000,2026-02-13 16:44:44+00:00,645.0,29.69,14.0,0,18.4662,684.77,21.9977,0.0364,19.59
SPY270115P00650000,2026-02-13 20:31:37+00:00,650.0,32.31,35.0,0,18.1359,680.68,21.7991,0.0364,21.05
SPY270115P00655000,2026-02-13 19:37:00+00:00,655.0,32.14,19.0,0,17.8055,684.52,21.4311,0.0364,19.66
SPY270115P00660000,2026-02-13 20:51:40+00:00,660.0,35.08,195.0,0,17.4721,680.38,21.275,0.0364,21.27
SPY270115P00665000,2026-02-13 16:17:51+00:00,665.0,35.22,11.0,0,17.1395,683.61,20.9499,0.0364,19.99
SPY270115P00670000,2026-02-13 20:51:49+00:00,670.0,38.16,234.0,0,16.7939,680.38,20.8317,0.0364,21.27
SPY270115P00675000,2026-02-13 20:24:59+00:00,675.0,39.75,2039.0,0,16.446,681.2101,20.7222,0.0364,20.8
SPY270115P00680000,2026-02-13 20:32:32+00:00,680.0,41.32,79.0,0,16.0973,680.48,20.3439,0.0364,21.12
SPY270115P00685000,2026-02-13 19:50:24+00:00,685.0,41.6,41.0,1,15.7418,683.73,20.0602,0.0364,19.78
SPY270115P00690000,2026-02-13 19:48:28+00:00,690.0,43.35,88.0,1,15.3863,683.65,19.8224,0.0364,19.71
SPY270115P00695000,2026-02-13 20:34:06+00:00,695.0,47.11,41.0,1,15.0247,680.25,19.7829,0.0364,21.17
SPY270115P00700000,2026-02-13 20:59:16+00:00,700.0,48.5,96.0,1,14.6569,681.6,19.5825,0.0364,20.62
SPY270115P00705000,2026-02-13 20:54:17+00:00,705.0,50.95,14.0,1,14.2854,681.44,19.5093,0.0364,20.81
SPY270115P00710000,2026-02-12 20:46:42+00:00,710.0,51.67,4.0,1,13.9115,681.895,18.8551,0.0364,20.61
SPY270115P00715000,2026-02-13 18:19:15+00:00,715.0,52.54,3.0,1,13.524,685.35,18.8006,0.0364,19.16
SPY270115P00720000,2026-02-13 18:26:43+00:00,720.0,57.34,14.0,1,13.1318,685.4,19.6029,0.0364,19.15
SPY270115P00725000,2026-02-13 18:19:15+00:00,725.0,57.32,3.0,1,13.5125,685.35,18.5179,0.0364,19.16
SPY270115P00730000,2026-02-13 18:19:15+00:00,730.0,59.92,4.0,1,13.1417,685.35,18.4143,0.0364,19.16
SPY270115P00735000,2026-02-13 16:37:20+00:00,735.0,64.33,2.0,1,12.7786,683.33,18.5511,0.0364,19.86
SPY270115P00740000,2026-02-03 19:51:58+00:00,740.0,65.73,9.0,1,12.4177,,17.5558,0.0364,
SPY270115P00745000,2026-02-06 16:09:12+00:00,745.0,67.64,4.0,1,12.066,,17.062,0.0364,
SPY270115P00750000,2026-02-13 18:03:48+00:00,750.0,72.22,12.0,1,11.728,684.46,18.2472,0.0364,19.49
SPY270115P00755000,2026-02-03 19:51:58+00:00,755.0,75.75,4.0,1,11.4053,,17.6928,0.0364,
SPY270115P00760000,2026-02-12 19:16:53+00:00,760.0,79.9,4.0,1,11.1032,684.86,18.8042,0.0364,19.82
SPY270115P00765000,2026-02-03 16:03:18+00:00,765.0,76.94,3.0,1,10.8178,,15.3283,0.0364,
SPY270115P00770000,2026-02-12 16:34:57+00:00,770.0,87.74,1.0,1,10.5676,684.96,19.2756,0.0364,19.86
SPY270115P00775000,2026-02-13 20:38:59+00:00,775.0,96.0,1.0,1,10.3662,680.38,20.026,0.0364,21.32
SPY270115P00780000,2026-02-12 16:29:27+00:00,780.0,96.81,1.0,1,10.2212,683.6,19.7828,0.0364,20.59
SPY270115P00785000,2026-01-16 15:01:04+00:00,785.0,93.39,1.0,1,10.1663,,16.1194,0.0364,
SPY270115P00790000,2026-02-03 19:22:58+00:00,790.0,103.12,1.0,1,10.2212,,18.8405,0.0364,
SPY270115P00795000,2026-01-27 20:16:45+00:00,795.0,99.15,1.0,1,10.3708,,15.1671,0.0364,
SPY270115P00800000,2026-02-12 18:08:48+00:00,800.0,116.5,1.0,1,11.1123,683.37,21.9668,0.0364,20.48
SPY270115P00825000,2026-02-12 18:09:51+00:00,825.0,141.61,1.0,1,12.2506,683.37,24.8131,0.0364,20.51
SPY270115P00835000,2026-02-06 19:48:11+00:00,835.0,145.64,7.0,1,13.3172,,22.5851,0.0364,
SPY270115P00840000,2026-02-06 20:06:00+00:00,840.0,150.46,2.0,1,13.1417,,23.009,0.0364,
SPY270115P00850000,2026-02-10 16:03:24+00:00,850.0,154.65,1.0,1,13.7185,695.3,25.918,0.0364,17.42
SPY270115P00870000,2024-10-10 13:30:05+00:00,870.0,292.17,,1,54.8886,,71.1436,0.0364,
SPY270115P00900000,2026-01-13 16:52:16+00:00,900.0,204.72,1.0,1,16.9961,,25.7465,0.0364,
SPY270115P00910000,2025-05-30 14:52:27+00:00,910.0,321.1,1.0,1,50.0104,,71.073,0.0364,
SPY270115P00950000,2026-02-03 19:11:32+00:00,950.0,265.01,,1,18.94,,35.5233,0.0364,
SPY270115P00970000,2026-01-14 19:59:36+00:00,970.0,281.12,,1,19.88,,35.2582,0.0364,
SPY270115P00995000,2026-01-29 21:08:30+00:00,995.0,301.21,,1,21.0213,,34.6618,0.0364,
SPY270115P01000000,2026-02-12 21:11:16+00:00,1000.0,318.36,1.0,1,21.241,681.22,41.1656,0.0364,20.74
SPY270115P01010000,2026-02-12 21:11:16+00:00,1010.0,328.41,1.0,1,21.6835,681.22,42.0001,0.0364,20.74
SPY270115P01020000,2026-01-16 20:57:07+00:00,1020.0,326.17,,1,22.1169,,36.6243,0.0364,
SPY270115P01150000,2026-01-15 19:41:18+00:00,1150.0,456.55,,1,27.2773,,46.4024,0.0364,
