contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
GOOG260227C00165000,2026-02-27 16:09:13+00:00,165.0,142.53,8.0,26,307.56,33.98,142.0,144.4,2.4,0.202,c
GOOG260227C00170000,2026-02-27 14:36:26+00:00,170.0,136.34,1.0,43,306.57,34.94,136.95,139.55,2.6,0.266,c
GOOG260227C00175000,2026-02-24 18:41:35+00:00,175.0,136.27,25.0,44,310.51,34.76,131.95,134.55,2.6,3.096,c
GOOG260227C00180000,2026-02-27 15:36:52+00:00,180.0,128.09,1.0,32,308.195,34.08,126.95,129.55,2.6,0.224,c
GOOG260227C00190000,2026-02-24 20:47:14+00:00,190.0,121.25,9.0,9,311.185,35.21,116.95,119.55,2.6,3.009,c
GOOG260227C00195000,2026-02-27 15:47:57+00:00,195.0,113.7,1.0,13,308.61,33.71,111.95,114.55,2.6,0.217,c
GOOG260227C00200000,2026-02-24 20:47:31+00:00,200.0,111.28,9.0,20,311.06,35.19,106.95,109.55,2.6,3.009,c
GOOG260227C00205000,2026-02-24 20:47:58+00:00,205.0,106.31,11.0,13,311.185,35.21,101.95,104.4,2.45,3.008,c
GOOG260227C00210000,2026-02-25 16:22:29+00:00,210.0,100.45,2.0,114,310.43,34.06,96.95,99.45,2.5,2.193,c
GOOG260227C00215000,2026-02-24 20:42:39+00:00,215.0,96.17,3.0,7,311.1,35.32,91.95,94.4,2.45,3.012,c
GOOG260227C00220000,2026-02-24 20:42:29+00:00,220.0,91.2,3.0,77,310.815,35.39,86.95,89.6,2.65,3.012,c
GOOG260227C00225000,2026-02-13 20:49:20+00:00,225.0,81.05,1.0,2,317.65,35.51,81.95,84.45,2.5,14.007,c
GOOG260227C00230000,2026-02-18 16:08:20+00:00,230.0,74.79,,0,317.65,35.51,76.95,79.4,2.45,9.203,c
GOOG260227C00235000,2026-02-26 16:25:50+00:00,235.0,71.13,1.0,20,306.9,34.45,71.95,74.55,2.6,1.19,c
GOOG260227C00240000,2026-02-25 19:36:43+00:00,240.0,70.99,1.0,9,310.71,33.98,66.95,69.4,2.45,2.058,c
GOOG260227C00245000,2026-02-26 20:54:09+00:00,245.0,62.0,1.0,132,306.87,33.64,61.95,64.45,2.5,1.004,c
GOOG260227C00250000,2026-02-27 15:56:15+00:00,250.0,58.0,1.0,25,308.07,33.96,57.0,59.0,2.0,0.211,c
GOOG260227C00255000,2026-02-27 15:20:20+00:00,255.0,53.11,1.0,21,307.59,34.18,51.95,54.55,2.6,0.236,c
GOOG260227C00260000,2026-02-27 15:30:02+00:00,260.0,48.22,5.0,74,308.06,34.07,46.95,49.55,2.6,0.229,c
GOOG260227C00265000,2026-02-25 20:26:58+00:00,265.0,43.28,2.0,41,311.99,34.01,42.0,43.0,1.0,2.023,c
GOOG260227C00270000,2026-02-27 15:41:16+00:00,270.0,38.37,5.0,30,308.74,34.01,37.0,39.35,2.35,0.221,c
GOOG260227C00272500,2026-02-17 17:43:17+00:00,272.5,29.35,,2,317.65,35.51,34.45,36.9,2.45,10.137,c
GOOG260227C00275000,2026-02-27 15:04:25+00:00,275.0,33.13,4.0,61,308.36,34.67,31.95,34.55,2.6,0.247,c
GOOG260227C00277500,2026-02-18 20:54:40+00:00,277.5,28.05,,2,307.691,33.51,29.45,31.9,2.45,9.004,c
GOOG260227C00280000,2026-02-27 15:37:17+00:00,280.0,28.36,29.0,103,308.345,34.02,27.05,29.1,2.05,0.224,c
GOOG260227C00282500,2026-02-26 20:33:13+00:00,282.5,25.05,39.0,46,307.804,33.28,24.45,26.9,2.45,1.019,c
GOOG260227C00285000,2026-02-26 17:36:29+00:00,285.0,22.82,3.0,88,304.9,35.03,21.95,24.5,2.55,1.141,c
GOOG260227C00287500,2026-02-27 15:41:56+00:00,287.5,21.2,2.0,19,308.74,34.01,19.45,22.05,2.6,0.221,c
GOOG260227C00290000,2026-02-27 16:01:15+00:00,290.0,17.95,17.0,115,308.22,33.77,17.4,18.25,0.85,0.207,c
GOOG260227C00292500,2026-02-27 15:02:38+00:00,292.5,16.4,5.0,32,308.4,34.79,14.45,15.55,1.1,0.248,c
GOOG260227C00295000,2026-02-27 15:29:56+00:00,295.0,12.88,26.0,160,307.95,34.12,12.15,13.55,1.4,0.229,c
GOOG260227C00297500,2026-02-27 15:51:10+00:00,297.5,10.35,161.0,342,307.97,33.73,9.8,11.05,1.25,0.214,c
GOOG260227C00300000,2026-02-27 16:17:02+00:00,300.0,8.5,220.0,3179,308.63,33.54,7.4,8.1,0.7,0.197,c
GOOG260227C00302500,2026-02-27 16:15:50+00:00,302.5,6.2,284.0,484,308.53,33.66,5.2,6.7,1.5,0.197,c
GOOG260227C00305000,2026-02-27 16:25:17+00:00,305.0,3.45,2077.0,1981,308.29,33.52,3.25,3.75,0.5,0.191,c
GOOG260227C00307500,2026-02-27 16:25:40+00:00,307.5,1.52,4665.0,1829,308.29,33.52,1.52,1.55,0.03,0.191,c
GOOG260227C00310000,2026-02-27 16:25:03+00:00,310.0,0.44,13807.0,4659,308.29,33.52,0.43,0.44,0.01,0.191,c
GOOG260227C00312500,2026-02-27 16:25:50+00:00,312.5,0.09,11295.0,3610,308.29,33.52,0.09,0.1,0.01,0.19,c
GOOG260227C00315000,2026-02-27 16:24:59+00:00,315.0,0.03,6104.0,4263,308.095,33.59,0.02,0.04,0.02,0.191,c
GOOG260227C00317500,2026-02-27 16:22:51+00:00,317.5,0.02,751.0,2758,307.92,33.6,0.01,0.02,0.01,0.192,c
GOOG260227C00320000,2026-02-27 16:25:25+00:00,320.0,0.01,759.0,8758,308.29,33.52,0.01,0.02,0.01,0.191,c
GOOG260227C00322500,2026-02-27 16:17:13+00:00,322.5,0.01,305.0,11219,308.63,33.54,0.0,0.01,0.01,0.196,c
GOOG260227C00325000,2026-02-27 16:18:23+00:00,325.0,0.01,913.0,4683,308.61,33.53,0.0,0.01,0.01,0.196,c
GOOG260227C00327500,2026-02-27 16:19:31+00:00,327.5,0.01,110.0,4534,307.978,33.57,0.0,0.01,0.01,0.195,c
GOOG260227C00330000,2026-02-27 16:19:27+00:00,330.0,0.01,264.0,6436,308.259,33.54,0.0,0.01,0.01,0.195,c
GOOG260227C00332500,2026-02-27 16:08:25+00:00,332.5,0.01,19.0,1532,307.77,33.83,0.0,0.01,0.01,0.202,c
GOOG260227C00335000,2026-02-27 16:08:39+00:00,335.0,0.01,86.0,2475,307.56,33.98,0.0,0.01,0.01,0.202,c
GOOG260227C00337500,2026-02-27 16:08:55+00:00,337.5,0.01,29.0,697,307.77,33.83,0.0,0.01,0.01,0.202,c
GOOG260227C00340000,2026-02-27 16:17:57+00:00,340.0,0.01,67.0,3010,308.63,33.54,0.0,0.01,0.01,0.196,c
GOOG260227C00342500,2026-02-27 16:18:19+00:00,342.5,0.01,30.0,404,308.61,33.53,0.0,0.02,0.02,0.196,c
GOOG260227C00345000,2026-02-27 16:17:12+00:00,345.0,0.01,24.0,2406,308.63,33.54,0.0,0.01,0.01,0.196,c
GOOG260227C00347500,2026-02-25 20:16:43+00:00,347.5,0.01,224.0,551,312.13,33.99,0.0,0.01,0.01,2.03,c
GOOG260227C00350000,2026-02-27 15:24:12+00:00,350.0,0.01,41.0,3775,308.31,33.99,0.0,0.01,0.01,0.233,c
GOOG260227C00355000,2026-02-27 14:57:25+00:00,355.0,0.01,5.0,1452,307.685,35.14,0.0,0.01,0.01,0.252,c
GOOG260227C00360000,2026-02-26 17:25:32+00:00,360.0,0.01,4.0,1640,305.32,34.94,0.0,0.01,0.01,1.149,c
GOOG260227C00365000,2026-02-27 16:14:38+00:00,365.0,0.01,1.0,1400,308.53,33.66,0.0,0.01,0.01,0.198,c
GOOG260227C00370000,2026-02-25 17:14:20+00:00,370.0,0.01,1.0,991,311.45,33.72,0.0,0.01,0.01,2.157,c
GOOG260227C00375000,2026-02-27 14:32:49+00:00,375.0,0.01,1.0,821,306.3,34.94,0.0,0.01,0.01,0.269,c
GOOG260227C00380000,2026-02-26 20:59:07+00:00,380.0,0.01,7.0,952,307.159,33.48,0.0,0.01,0.01,1.001,c
GOOG260227C00385000,2026-02-26 20:59:07+00:00,385.0,0.02,16.0,253,307.159,33.48,0.0,0.01,0.01,1.001,c
GOOG260227C00390000,2026-02-25 14:51:04+00:00,390.0,0.01,3.0,315,313.33,33.86,0.0,0.01,0.01,2.256,c
GOOG260227C00395000,2026-02-19 20:14:06+00:00,395.0,0.01,20.0,196,317.65,35.51,0.0,0.01,0.01,8.032,c
GOOG260227C00400000,2026-02-24 15:01:22+00:00,400.0,0.01,1.0,498,307.28,36.52,0.0,0.01,0.01,3.249,c
GOOG260227C00405000,2026-02-20 20:07:56+00:00,405.0,0.01,10.0,110,307.691,33.51,0.0,0.01,0.01,7.036,c
GOOG260227C00410000,2026-02-20 20:08:24+00:00,410.0,0.01,5.0,118,317.65,35.51,0.0,0.01,0.01,7.036,c
GOOG260227C00415000,2026-02-06 15:43:24+00:00,415.0,0.05,1.0,44,317.65,35.51,0.0,0.01,0.01,21.22,c
GOOG260227C00420000,2026-02-27 16:26:08+00:00,420.0,0.01,1.0,66,308.395,33.45,0.0,0.01,0.01,0.19,c
GOOG260227C00425000,2026-02-04 20:55:34+00:00,425.0,0.33,11.0,15,317.65,35.51,0.0,0.01,0.01,23.003,c
GOOG260227C00430000,2026-02-17 18:42:40+00:00,430.0,0.02,3.0,21,307.691,33.51,0.0,0.01,0.01,10.095,c
GOOG260227C00435000,2026-02-26 15:35:42+00:00,435.0,0.01,3.0,11,302.68,35.8,0.0,0.01,0.01,1.225,c
GOOG260227C00440000,2026-02-06 18:27:11+00:00,440.0,0.02,21.0,23,317.65,35.51,0.0,0.01,0.01,21.106,c
GOOG260227C00445000,2026-02-23 15:03:15+00:00,445.0,0.01,1.0,78,315.85,35.27,0.0,0.01,0.01,4.248,c
GOOG260227C00450000,2026-02-26 15:08:30+00:00,450.0,0.85,2.0,26,306.49,34.74,0.0,0.01,0.01,1.244,c
GOOG260227P00165000,2026-02-23 18:44:36+00:00,165.0,0.01,1.0,222,313.6,35.55,0.0,0.01,0.01,4.094,p
GOOG260227P00170000,2026-02-24 20:32:14+00:00,170.0,0.13,4.0,590,311.08,35.57,0.0,0.01,0.01,3.019,p
GOOG260227P00175000,2026-02-12 14:43:28+00:00,175.0,0.01,1.0,629,317.65,35.51,0.0,0.01,0.01,15.261,p
GOOG260227P00180000,2026-02-25 15:22:29+00:00,180.0,0.13,3.0,107,311.795,33.92,0.0,0.01,0.01,2.234,p
GOOG260227P00185000,2026-02-06 16:14:09+00:00,185.0,0.05,4.0,4,317.65,35.51,0.0,0.01,0.01,21.199,p
GOOG260227P00190000,2026-02-06 19:29:31+00:00,190.0,0.04,35.0,82,317.65,35.51,0.0,0.01,0.01,21.063,p
GOOG260227P00195000,2026-02-06 19:41:38+00:00,195.0,0.04,27.0,48,317.65,35.51,0.0,0.01,0.01,21.054,p
GOOG260227P00200000,2026-02-06 19:45:38+00:00,200.0,0.05,22.0,111,317.65,35.51,0.0,0.01,0.01,21.052,p
GOOG260227P00205000,2026-02-06 18:41:34+00:00,205.0,0.05,11.0,11,317.65,35.51,0.0,0.01,0.01,21.096,p
GOOG260227P00210000,2026-02-18 18:34:23+00:00,210.0,0.02,3.0,15,317.65,35.51,0.0,0.01,0.01,9.101,p
GOOG260227P00215000,2026-02-23 15:00:16+00:00,215.0,0.21,1.0,311,315.65,35.37,0.0,0.01,0.01,4.25,p
GOOG260227P00220000,2026-02-23 19:53:11+00:00,220.0,0.01,4.0,190,310.725,36.84,0.0,0.01,0.01,4.046,p
GOOG260227P00225000,2026-02-12 15:45:22+00:00,225.0,0.04,1.0,37,317.65,35.51,0.0,0.01,0.01,15.218,p
GOOG260227P00230000,2026-02-26 15:23:50+00:00,230.0,0.09,1.0,27,303.2,35.82,0.0,0.01,0.01,1.233,p
GOOG260227P00235000,2026-02-23 16:12:18+00:00,235.0,0.01,1.0,135,312.118,36.45,0.0,0.01,0.01,4.2,p
GOOG260227P00240000,2026-02-25 14:32:51+00:00,240.0,0.58,2.0,263,310.185,34.56,0.0,0.01,0.01,2.269,p
GOOG260227P00245000,2026-02-24 18:31:39+00:00,245.0,0.01,6.0,65,310.995,34.78,0.0,0.01,0.01,3.103,p
GOOG260227P00250000,2026-02-27 15:34:48+00:00,250.0,0.01,2.0,1575,307.9,34.16,0.0,0.01,0.01,0.226,p
GOOG260227P00255000,2026-02-27 14:57:55+00:00,255.0,0.01,2.0,210,307.685,35.14,0.0,0.01,0.01,0.251,p
GOOG260227P00260000,2026-02-27 15:55:57+00:00,260.0,0.01,2.0,305,307.79,34.01,0.0,0.01,0.01,0.211,p
GOOG260227P00265000,2026-02-26 20:35:14+00:00,265.0,0.01,202.0,1187,307.845,33.29,0.0,0.01,0.01,1.017,p
GOOG260227P00267500,2026-02-27 14:33:38+00:00,267.5,0.01,15.0,109,306.574,34.88,0.0,0.01,0.01,0.268,p
GOOG260227P00270000,2026-02-27 15:43:14+00:00,270.0,0.01,20.0,926,308.61,33.94,0.0,0.01,0.01,0.22,p
GOOG260227P00272500,2026-02-27 15:23:00+00:00,272.5,0.01,15.0,241,308.09,34.07,0.0,0.01,0.01,0.234,p
GOOG260227P00275000,2026-02-27 16:12:06+00:00,275.0,0.01,19.0,1075,307.985,33.87,0.0,0.01,0.01,0.2,p
GOOG260227P00277500,2026-02-27 15:56:51+00:00,277.5,0.01,26.0,371,308.07,33.96,0.0,0.01,0.01,0.211,p
GOOG260227P00280000,2026-02-27 16:12:06+00:00,280.0,0.02,198.0,1192,307.985,33.87,0.0,0.02,0.02,0.2,p
GOOG260227P00282500,2026-02-27 16:14:53+00:00,282.5,0.01,13.0,428,308.5,33.82,0.01,0.02,0.01,0.198,p
GOOG260227P00285000,2026-02-27 15:56:32+00:00,285.0,0.02,515.0,1542,308.15,33.94,0.01,0.02,0.01,0.211,p
GOOG260227P00287500,2026-02-27 15:45:59+00:00,287.5,0.01,114.0,742,308.74,33.83,0.01,0.02,0.01,0.218,p
GOOG260227P00290000,2026-02-27 16:08:31+00:00,290.0,0.01,159.0,1849,307.56,33.98,0.0,0.01,0.01,0.202,p
GOOG260227P00292500,2026-02-27 16:15:49+00:00,292.5,0.02,267.0,1836,308.53,33.66,0.01,0.02,0.01,0.197,p
GOOG260227P00295000,2026-02-27 16:22:36+00:00,295.0,0.01,329.0,3708,307.7,33.63,0.01,0.03,0.02,0.193,p
GOOG260227P00297500,2026-02-27 16:19:19+00:00,297.5,0.03,328.0,4371,308.259,33.54,0.03,0.04,0.01,0.195,p
GOOG260227P00300000,2026-02-27 16:23:21+00:00,300.0,0.06,1208.0,5299,307.7,33.63,0.05,0.06,0.01,0.192,p
GOOG260227P00302500,2026-02-27 16:24:51+00:00,302.5,0.11,1829.0,3288,308.095,33.59,0.08,0.1,0.02,0.191,p
GOOG260227P00305000,2026-02-27 16:25:40+00:00,305.0,0.25,2949.0,3000,308.29,33.52,0.24,0.26,0.02,0.191,p
