contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
SPY280616P00385000,2026-01-12 16:51:03+00:00,385.0,8.49,,0,6.2509,,31.3893,0.036429998
SPY280616P00390000,2026-02-05 15:36:59+00:00,390.0,10.3,12.0,0,6.2509,676.78,31.6156,0.036429998
SPY280616P00395000,2026-01-12 16:53:19+00:00,395.0,9.12,,0,6.2509,,30.9281,0.036429998
SPY280616P00400000,2026-02-09 17:09:45+00:00,400.0,9.87,1.0,0,6.2509,695.39,31.1161,0.036429998
SPY280616P00405000,2026-01-07 19:10:49+00:00,405.0,10.09,1.0,0,6.2509,,30.72,0.036429998
SPY280616P00410000,2026-02-09 18:52:18+00:00,410.0,10.58,1.0,0,6.2509,694.92,30.647,0.036429998
SPY280616P00415000,2026-01-14 19:32:49+00:00,415.0,11.26,7.0,0,6.2509,,30.6113,0.036429998
SPY280616P00420000,2026-01-06 18:23:50+00:00,420.0,11.26,8.0,0,6.2509,,30.1102,0.036429998
SPY280616P00425000,2026-01-30 18:29:46+00:00,425.0,12.14,2.0,0,6.2509,,30.2403,0.036429998
SPY280616P00430000,2026-02-05 14:56:35+00:00,430.0,13.31,1.0,0,6.2509,680.94,29.8779,0.036429998
SPY280616P00435000,2026-01-30 17:12:41+00:00,435.0,13.06,2.0,0,6.2509,,29.8682,0.036429998
SPY280616P00440000,2026-02-06 16:14:47+00:00,440.0,13.64,1.0,0,6.2509,687.39,29.4161,0.036429998
SPY280616P00445000,2026-02-09 15:30:26+00:00,445.0,13.75,10.0,0,6.2509,692.8,29.266,0.036429998
SPY280616P00450000,2026-02-06 15:55:30+00:00,450.0,14.9,1.0,0,6.2509,685.565,29.1059,0.036429998
SPY280616P00455000,2025-12-22 20:32:12+00:00,455.0,14.66,1.0,0,25.2502,,28.9031,0.036429998
SPY280616P00460000,2026-02-06 19:07:54+00:00,460.0,15.41,4.0,0,6.2509,689.265,28.6118,0.036429998
SPY280616P00465000,2026-01-13 15:15:04+00:00,465.0,15.1,5.0,0,6.2509,,28.1901,0.036429998
SPY280616P00470000,2025-12-12 16:08:22+00:00,470.0,17.75,,0,24.5903,,29.1809,0.036429998
SPY280616P00475000,2026-02-05 20:15:18+00:00,475.0,18.0,5.0,0,6.2509,679.01,28.0013,0.036429998
SPY280616P00480000,2026-02-09 16:40:39+00:00,480.0,17.15,1.0,0,6.2509,694.8,27.9244,0.036429998
SPY280616P00485000,2025-12-22 14:30:51+00:00,485.0,18.33,,0,23.951,,28.0113,0.036429998
SPY280616P00490000,2026-01-20 17:14:32+00:00,490.0,19.23,,0,3.126,,27.9803,0.036429998
SPY280616P00495000,2026-01-21 15:43:41+00:00,495.0,19.57,1.0,0,3.126,,27.6618,0.036429998
